product_id,product_class_id,brand_name,product_name,sku,srp,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,cases_per_pallet,shelf_width,shelf_height,shelf_depth
20,62,Blue Label,Blue Label Canned Yams,22169209122,2.7800,21.3,19.2,0,1,22,8,5.95,5.22,11.8
21,58,Blue Label,Blue Label Vegetable Soup,43318244814,2.3300,19.7,18.7,0,1,18,7,11.7,18.8,11.6
22,62,Blue Label,Blue Label Canned Tomatos,77561696171,2.2900,15.0,14.0,0,0,31,13,19.0,8.73,5.02
23,58,Blue Label,Blue Label Noodle Soup,32829326987,1.7500,10.6,9.6,1,0,17,9,19.8,3.16,15.7
24,58,Blue Label,Blue Label Regular Ramen Soup,12408414483,1.7300,12.8,10.8,0,1,23,8,20.7,21.3,6.98
25,58,Blue Label,Blue Label Chicken Noodle Soup,62032982707,1.5500,9.48,8.47,1,1,21,10,4.98,4.71,22.4
26,58,Blue Label,Blue Label Turkey Noodle Soup,34751966595,0.8800,16.5,13.5,1,1,21,11,12.8,11.0,12.0
27,58,Blue Label,Blue Label Beef Soup,29712170958,2.6500,11.2,8.19,0,1,14,12,9.91,7.62,3.1
28,62,Blue Label,Blue Label Canned Peas,61668921113,3.9100,21.9,20.8,1,0,33,9,8.1,22.0,21.5
29,58,Blue Label,Blue Label Chicken Ramen Soup,25866891741,1.7800,17.1,16.1,0,0,34,5,6.61,19.7,22.3
30,93,Blue Label,Blue Label Canned Tuna in Water,93159278035,1.4100,9.71,7.71,1,0,31,5,19.5,16.1,6.61
31,93,Blue Label,Blue Label Canned Tuna in Oil,50497145056,1.5500,17.2,15.2,1,0,28,12,19.7,13.6,3.63
32,94,Blue Label,Blue Label Large Canned Shrimp,87027297616,2.8600,8.86,6.85,0,0,2,11,8.73,3.34,13.1
33,95,Blue Label,Blue Label Fancy Canned Anchovies,44581629633,1.3600,8.27,6.27,0,1,16,5,5.9,9.12,17.7
34,96,Blue Label,Blue Label Fancy Canned Clams,50349548459,1.6900,16.7,14.7,1,1,30,9,20.6,14.4,11.9
35,97,Blue Label,Blue Label Fancy Canned Oysters,36162948012,2.2100,18.2,16.2,0,1,23,5,8.28,7.87,6.27
36,98,Blue Label,Blue Label Fancy Canned Sardines,11168633103,1.8000,14.0,11.0,1,0,26,5,17.4,16.7,19.4
37,58,Blue Label,Blue Label Rice Soup,32317668795,1.5900,21.0,19.0,1,1,9,6,15.4,17.5,6.65
38,3,Green Ribbon,Green Ribbon Canned Mixed Fruit,42658990025,1.3100,14.0,11.0,1,1,32,8,11.1,17.2,5.74
39,3,Green Ribbon,Green Ribbon Canned Peaches,33045791983,3.1100,17.5,15.5,1,0,5,7,10.8,17.7,9.04
40,89,King,King Rosy Sunglasses,36527009606,0.9900,11.7,10.6,1,0,25,13,15.7,12.1,7.7
41,103,Queen,Queen Eyeglass Screwdriver,86151577830,0.8900,8.61,5.6,1,0,29,12,18.3,6.34,8.7
42,102,Queen,Queen City Map,89849260449,2.8200,13.6,11.6,1,0,6,10,3.46,5.58,17.1
43,15,Club,Club Low Fat Cottage Cheese,18711594939,1.6700,17.7,15.7,1,0,33,11,15.4,3.71,10.7
44,14,Club,Club Low Fat Sour Cream,50668345093,2.9300,10.7,9.69,0,1,26,5,21.1,17.9,7.32
45,14,Club,Club Sour Cream,14866315722,0.5300,13.6,11.6,0,0,9,11,8.57,7.31,3.27
46,11,Club,Club Jack Cheese,82158702015,3.4400,14.4,12.3,1,0,19,7,12.7,20.9,7.42
47,11,Club,Club Muenster Cheese,39496569037,2.5700,17.8,15.7,1,0,21,13,22.3,7.03,13.2
48,11,Club,Club String Cheese,76026721596,1.8800,6.31,3.3,1,1,17,7,5.22,18.7,11.2
49,11,Club,Club Low Fat String Cheese,68700224757,3.3800,17.0,15.0,0,0,30,12,22.8,6.48,4.65
50,11,Club,Club Havarti Cheese,74468143582,3.9500,9.95,7.94,0,1,36,9,9.91,22.9,6.24
51,11,Club,Club Head Cheese,24898700118,1.4700,8.41,5.4,0,1,9,11,13.1,7.54,18.6
52,11,Club,Club Cheese Spread,66002255082,2.1700,14.5,13.5,1,1,27,13,7.4,10.4,6.06
53,11,Club,Club Sharp Cheddar Cheese,21053420901,3.6100,18.8,16.7,1,1,18,9,21.6,18.8,6.58
54,11,Club,Club Mild Cheddar Cheese,31394742131,2.9300,9.58,7.57,0,1,15,14,15.9,11.7,3.87
55,15,Club,Club Large Curd Cottage Cheese,21781544089,3.5000,14.3,12.3,1,0,20,7,12.3,16.8,14.2
56,76,Club,Club 2% Milk,25262761712,0.7100,20.6,18.6,1,0,21,7,4.1,15.3,11.6
57,76,Club,Club Buttermilk,74887329936,0.6100,20.1,18.1,0,0,33,6,13.5,8.69,16.7
58,76,Club,Club Chocolate Milk,23704183697,2.3100,15.5,13.5,0,0,18,12,10.7,15.0,13.1
59,76,Club,Club 1% Milk,42566518187,1.4000,18.8,15.7,0,0,1,6,5.57,16.3,22.1
60,76,Club,Club Whole Milk,50621138215,2.6600,7.03,5.03,0,0,2,6,4.42,13.3,20.8
61,6,Club,Club Strawberry Yogurt,93602067828,0.7400,13.4,11.3,0,1,22,12,16.3,11.5,13.8
62,6,Club,Club Blueberry Yogurt,70894454121,3.8200,14.1,11.1,0,1,32,8,11.0,17.4,5.51
63,81,Red Spade,Red Spade Chicken Hot Dogs,28232321143,2.9500,20.3,18.2,1,1,21,6,4.41,15.9,17.9
64,91,Red Spade,Red Spade Pimento Loaf,64762473702,1.6100,13.2,12.1,1,0,33,6,18.1,17.6,12.4
65,91,Red Spade,Red Spade Beef Bologna,57435976862,3.7600,10.3,9.3,0,1,21,12,4.44,8.8,22.7
66,91,Red Spade,Red Spade Low Fat Bologna,63203895688,3.4400,11.9,8.89,1,1,31,9,5.0,19.1,14.1
67,81,Red Spade,Red Spade Turkey Hot Dogs,25115165114,1.8600,6.15,4.15,0,1,27,12,19.9,7.96,10.3
68,81,Red Spade,Red Spade Foot-Long Hot Dogs,90120850205,3.5600,16.0,14.0,1,1,2,13,20.2,10.0,4.12
69,16,Red Spade,Red Spade Low Fat Cole Slaw,21269885897,3.1000,16.7,14.7,1,1,6,11,6.13,3.69,3.28
70,16,Red Spade,Red Spade Cole Slaw,42828248143,0.9700,8.83,6.82,0,0,6,13,16.9,12.2,12.6
71,77,Red Spade,Red Spade Roasted Chicken,33215050101,2.7600,21.8,20.7,0,0,7,12,4.55,5.69,7.95
72,8,Red Spade,Red Spade Corned Beef,36696267724,2.7400,20.2,17.2,0,1,6,6,20.8,11.4,15.2
73,8,Red Spade,Red Spade Sliced Turkey,86320835947,2.3300,19.1,16.1,0,0,22,11,15.9,9.46,4.95
74,8,Red Spade,Red Spade Sliced Ham,35137689709,1.5700,6.13,5.13,0,1,5,7,3.38,18.8,20.8
75,16,Red Spade,Red Spade Potato Salad,54000024199,0.6800,16.9,14.8,0,1,26,11,18.1,8.74,11.9
76,8,Red Spade,Red Spade Sliced Chicken,62054644227,1.6900,18.1,17.1,0,1,4,7,14.6,13.5,3.42
77,66,Blue Medal,Blue Medal Small Brown Eggs,50154744982,2.8000,14.7,12.6,0,1,13,12,20.0,10.2,8.86
78,66,Blue Medal,Blue Medal Large Brown Eggs,27447131276,2.1900,19.5,17.5,1,1,3,6,8.29,14.2,9.13
79,66,Blue Medal,Blue Medal Small Eggs,39665827155,1.3200,12.4,10.3,0,1,9,8,15.3,10.7,10.7
80,66,Blue Medal,Blue Medal Large Eggs,76195979714,3.6300,17.1,14.1,0,0,31,12,12.8,9.1,11.1
81,66,Blue Medal,Blue Medal Egg Substitute,68869482874,2.1300,17.0,15.0,0,0,35,7,12.8,18.2,10.5
82,34,Golden,Golden Low Fat Waffles,74637401700,2.7000,21.3,18.2,0,1,25,13,7.06,6.61,11.0
83,110,Golden,Golden Orange Popsicles,36548671126,3.8800,18.0,17.0,1,0,11,10,10.7,3.3,21.5
84,100,Golden,Golden Frozen Chicken Breast,11554356217,2.8100,14.6,11.6,0,0,3,10,4.7,3.34,4.44
85,29,Golden,Golden Frozen Pancakes,32703391909,1.3600,7.12,5.11,0,1,29,11,9.53,3.09,16.1
86,63,Golden,Golden Low Fat French Fries,66946843266,2.9700,14.2,13.1,0,1,3,8,8.7,21.7,10.7
87,64,Golden,Golden Frozen Sausage Pizza,57333645224,1.7800,19.0,17.0,1,0,19,6,15.2,21.2,18.6
88,34,Golden,Golden Blueberry Waffles,25695691704,0.8600,7.86,6.86,1,0,6,12,10.5,12.9,18.9
89,63,Golden,Golden Fajita French Fries,51418129801,1.5900,20.5,17.5,0,0,4,7,14.0,20.7,14.4
90,34,Golden,Golden Waffles,24137113690,0.7700,10.2,8.19,0,1,2,12,15.1,8.08,19.5
91,64,Golden,Golden Frozen Pepperoni Pizza,42999448180,2.6800,12.8,10.8,1,1,17,12,8.94,4.08,3.08
92,64,Golden,Golden Frozen Cheese Pizza,51054068207,0.8300,17.1,16.1,1,0,25,5,4.09,16.8,18.6
93,64,Golden,Golden Frozen Mushroom Pizza,39154168963,0.9600,16.4,14.3,1,0,21,12,3.11,11.5,13.1
94,34,Golden,Golden Apple Cinnamon Waffles,16446555256,0.6200,7.9,4.9,1,0,1,9,10.5,20.9,8.15
95,60,Golden,Golden Frozen Carrots,39882292151,1.4600,8.58,5.57,1,0,29,9,16.6,3.52,22.3
96,10,Golden,Golden Turkey TV Dinner,10314574837,2.1100,10.7,9.69,1,1,35,8,17.5,21.7,13.5
97,10,Golden,Golden Chicken TV Dinner,57605234980,0.5900,18.3,16.2,1,0,26,7,16.4,16.9,5.55
98,10,Golden,Golden Beef TV Dinner,63373153805,1.8300,9.43,6.43,0,0,33,11,4.38,3.28,15.2
99,28,Golden,Golden Pancake Mix,25284423232,2.3600,8.83,6.82,1,1,29,13,21.7,17.9,14.7
100,110,Golden,Golden Grape Popsicles,90290108323,1.9500,9.49,8.48,1,1,6,7,9.3,16.1,6.34
101,63,Golden,Golden Home Style French Fries,21439144015,0.7200,20.6,18.6,0,1,13,6,7.8,13.8,7.22
102,110,Golden,Golden Lime Popsicles,55682595372,2.4500,18.2,17.2,0,1,16,10,6.01,18.3,14.8
103,9,Golden,Golden Ice Cream,46069397330,0.9500,9.81,8.81,1,0,13,8,6.22,15.8,11.8
104,9,Golden,Golden Ice Cream Sandwich,49550614953,3.8900,12.3,10.3,0,1,11,8,9.93,17.4,17.9
105,60,Golden,Golden Frozen Cauliflower,75273053050,3.7200,6.16,4.15,1,0,21,11,22.7,9.49,4.28
106,60,Golden,Golden Frozen Broccoli,36774995923,2.9600,14.6,11.6,1,1,36,6,17.4,14.7,18.5
107,60,Golden,Golden Frozen Corn,55637330412,1.8100,19.9,18.8,0,0,25,11,4.91,8.76,11.2
108,60,Golden,Golden Frozen Peas,63691950440,2.1900,11.9,9.89,1,1,34,6,8.69,9.67,20.5
109,9,Golden,Golden Popsicles,51792051196,3.9500,19.0,16.0,0,0,11,12,6.69,10.4,7.67
110,100,Golden,Golden Frozen Chicken Thighs,29084437489,2.3500,12.0,10.0,1,1,34,13,22.3,10.2,6.75
111,100,Golden,Golden Frozen Chicken Wings,52520174384,3.4800,15.4,13.3,1,1,17,12,22.0,10.7,10.0
112,110,Golden,Golden Lemon Popsicles,89050326943,1.1300,9.35,7.35,0,1,35,5,21.9,15.0,13.8
113,78,Faux Products,Faux Products Silky Smooth Hair Conditioner,15625960230,2.2900,19.7,17.7,1,0,8,12,14.5,8.23,15.0
114,39,Faux Products,Faux Products Tartar Control Toothpaste,21393879055,0.9200,20.6,19.6,0,0,31,11,19.1,10.5,9.73
115,39,Faux Products,Faux Products Whitening Toothpast,14283847212,0.6500,20.6,18.6,1,0,33,13,10.6,11.7,9.62
116,39,Faux Products,Faux Products Toothpaste,79289532303,3.9700,8.33,5.32,1,0,8,10,7.45,20.8,13.4
117,39,Faux Products,Faux Products Deodorant,10438567996,2.7500,9.24,7.23,0,0,31,10,12.0,3.12,8.19
118,79,Faux Products,Faux Products Conditioning Shampoo,44682019352,1.4800,8.27,6.27,1,0,20,13,8.55,14.1,3.48
119,79,Faux Products,Faux Products Extra Moisture Shampoo,35068821310,2.2800,20.1,19.1,0,0,7,12,7.86,8.33,14.7
120,88,Faux Products,Faux Products Angled Toothbrush,14647908806,2.2600,12.9,9.89,0,0,23,13,9.99,5.6,22.0
121,79,Faux Products,Faux Products Apricot Shampoo,64272477030,2.9800,11.6,8.6,1,0,21,11,21.4,6.61,22.4
122,70,Faux Products,Faux Products Childrens Aspirin,36991460919,1.9900,12.5,10.5,0,0,9,10,6.11,8.89,17.1
123,70,Faux Products,Faux Products Buffered Aspirin,31951665282,3.8400,12.4,9.39,0,0,21,7,3.1,17.5,22.6
124,71,Faux Products,Faux Products 200 MG Ibuprofen,52691374421,1.2100,13.3,10.3,1,0,8,11,7.72,19.7,17.3
125,72,Faux Products,Faux Products 200 MG Acetominifen,16889345049,2.3200,11.1,9.1,0,0,31,11,15.1,5.18,8.03
126,73,Faux Products,Faux Products HCL Nasal Spray,18083861470,1.6100,20.8,19.7,1,0,22,6,21.3,18.0,5.03
127,73,Faux Products,Faux Products Dishwasher Detergent,41519598364,1.7400,16.7,13.7,1,0,10,14,20.6,12.2,16.3
128,75,Faux Products,Faux Products Multi-Symptom Cold Remedy,78049750924,0.5300,14.5,12.5,0,0,26,5,8.09,17.6,7.02
129,75,Faux Products,Faux Products Childrens Cold Remedy,94625384211,1.5500,9.49,7.48,1,0,23,13,14.2,10.6,3.49
130,74,Faux Products,Faux Products Laundry Detergent,10393303036,2.2300,21.3,20.2,1,0,10,12,13.5,4.82,14.7
131,74,Faux Products,Faux Products Mint Mouthwash,62304572463,2.4000,19.1,16.1,0,0,26,13,20.9,10.2,5.48
132,80,Denny,Denny 60 Watt Lightbulb,37310257554,1.9200,20.0,18.0,1,0,14,12,5.59,12.5,20.2
133,56,Denny,Denny Plastic Forks,90229007601,0.7000,14.0,12.0,0,0,3,6,16.7,15.4,12.0
134,56,Denny,Denny Plastic Spoons,34472458958,2.4300,6.83,4.82,1,0,18,7,18.8,12.6,19.3
135,56,Denny,Denny Plastic Knives,24859260916,3.8900,7.74,4.73,0,0,6,6,3.51,14.9,14.0
136,101,Denny,Denny C-Size Batteries,94438348412,3.8700,17.4,15.3,0,0,33,10,9.7,7.86,11.0
137,80,Denny,Denny 100 Watt Lightbulb,54062916636,3.7000,13.3,11.3,1,0,13,11,9.01,22.0,22.3
138,101,Denny,Denny AAA-Size Batteries,26781900525,2.7000,12.3,10.3,1,0,7,13,16.3,7.58,12.5
139,55,Denny,Denny Paper Plates,21742104887,1.7900,21.1,19.1,0,0,16,10,18.5,4.85,19.7
140,55,Denny,Denny Paper Cups,53698855042,1.8200,6.03,4.03,0,0,4,10,3.14,7.13,14.5
141,80,Denny,Denny 75 Watt Lightbulb,96679784655,3.9300,15.7,13.6,1,0,2,8,9.33,20.0,11.5
142,22,Denny,Denny Toilet Bowl Cleaner,97874301075,2.3200,8.48,6.47,0,0,11,5,11.4,17.2,18.7
143,22,Denny,Denny Counter Cleaner,31310037970,2.4600,9.39,7.39,0,0,5,8,16.0,19.5,13.4
144,22,Denny,Denny Glass Cleaner,67840190529,0.5100,20.3,18.2,1,0,2,7,22.2,12.6,9.96
145,80,Denny,Denny 25 Watt Lightbulb,84415823817,2.2700,21.2,20.2,0,0,25,6,6.82,14.9,4.67
146,101,Denny,Denny AA-Size Batteries,90183742642,3.8300,14.0,12.0,1,0,35,12,8.95,12.1,11.9
147,101,Denny,Denny D-Size Batteries,52095012068,0.6400,13.0,12.0,1,0,29,10,5.44,3.22,7.24
148,18,Denny,Denny Paper Towels,27100697159,3.9500,8.94,6.93,1,0,17,9,4.75,17.3,18.5
149,18,Denny,Denny Soft Napkins,48249732851,2.4900,17.6,16.6,1,0,27,6,6.87,14.6,5.81
150,18,Denny,Denny Scented Tissue,45905964970,3.4500,18.6,16.6,1,0,15,14,11.4,16.9,20.5
151,18,Denny,Denny Toilet Paper,36292766928,2.9100,12.3,10.3,1,0,12,13,17.6,9.81,17.5
152,18,Denny,Denny Tissues,15871854424,2.8900,17.2,15.2,1,0,31,13,19.9,6.55,6.38
153,18,Denny,Denny Scented Toilet Tissue,96475121378,2.7200,18.1,17.1,0,0,19,12,4.6,8.83,21.0
154,20,Denny,Denny Room Freshener,69194105267,1.9600,16.8,13.7,1,0,16,11,16.1,9.84,21.5
155,40,Denny,Denny Frying Pan,64154309630,3.8100,20.6,18.6,1,0,26,8,12.9,18.9,5.37
156,87,Denny,Denny Copper Cleaner,96111059784,0.5500,21.5,19.5,0,0,20,11,17.5,21.2,20.0
157,47,Denny,Denny Bees Wax Candles,60309030413,2.9500,20.2,18.2,1,0,18,9,9.04,22.2,20.5
158,87,Denny,Denny Silver Cleaner,37601416707,1.5800,21.1,18.1,0,0,5,8,13.6,4.56,15.2
159,86,Denny,Denny Copper Pot Scrubber,84939283728,1.7100,10.1,8.1,0,0,14,5,10.4,13.8,18.5
160,85,Denny,Denny Economy Toilet Brush,31469436287,2.1300,9.18,7.18,0,0,3,9,6.91,4.92,13.8
161,41,Denny,Denny Scissors,24142939448,1.5200,10.0,8.0,1,0,32,11,11.5,7.21,8.55
162,42,Denny,Denny Large Sponge,18693817257,2.8500,13.8,10.8,1,0,6,8,8.34,16.3,12.4
163,41,Denny,Denny Screw Driver,94507216811,2.3800,14.7,11.6,0,0,4,7,12.9,18.6,7.11
164,65,Ship Shape,Ship Shape Extra Lean Hamburger,69512901902,2.9700,13.4,11.3,1,1,27,6,4.46,19.6,7.53
165,65,Ship Shape,Ship Shape Seasoned Hamburger,90661937594,1.7500,8.26,6.26,0,0,31,10,9.36,3.99,16.0
166,104,Robust,Robust Monthly Sports Magazine,11003258824,2.4700,11.2,10.1,1,0,31,6,6.67,18.9,14.4
167,108,Robust,Robust Monthly Auto Magazine,91390060782,0.6000,14.4,13.3,0,0,6,11,13.8,5.88,18.3
168,107,Robust,Robust Monthly Computer Magazine,94871278405,1.2600,10.4,8.39,0,0,23,11,11.6,8.92,9.67
169,105,Robust,Robust Monthly Home Magazine,54495846629,1.9800,19.5,17.5,1,0,29,11,17.2,5.11,11.8
170,106,Robust,Robust Monthly Fashion Magazine,57929857373,3.2000,9.56,8.56,0,0,23,9,5.74,4.41,9.95
171,61,High Top,High Top Summer Squash,76792191863,2.9500,18.7,17.7,0,0,30,9,11.3,20.6,12.0
172,61,High Top,High Top Corn on the Cob,18748942017,3.3200,16.1,14.1,0,1,3,8,12.3,18.4,4.75
173,61,High Top,High Top Asparagus,72946912646,1.4300,21.9,20.8,0,0,13,13,22.0,9.15,7.34
174,61,High Top,High Top Sweet Peas,50239298939,1.7100,13.4,11.3,1,0,22,8,12.3,21.0,21.8
175,61,High Top,High Top New Potatos,97577165961,3.8500,6.82,4.82,1,1,16,8,13.0,15.4,13.2
176,61,High Top,High Top Beets,44107318520,2.2700,12.1,10.1,1,0,29,7,10.4,14.9,8.42
177,61,High Top,High Top Prepared Salad,36780821681,1.6600,10.5,8.5,0,0,19,14,5.0,16.2,3.3
178,61,High Top,High Top Onions,42548740506,1.3300,19.5,16.5,1,1,25,7,20.3,18.2,12.3
179,61,High Top,High Top Green Pepper,83242968916,2.7500,19.7,18.7,0,1,2,6,3.93,15.1,21.6
180,61,High Top,High Top Shitake Mushrooms,34346523880,0.6900,12.3,11.3,0,0,17,9,17.3,18.2,10.9
181,61,High Top,High Top Lettuce,79397689700,0.9300,16.1,14.1,0,1,23,5,16.1,15.1,14.5
182,61,High Top,High Top Elephant Garlic,89739010930,1.8400,9.05,6.05,0,1,11,12,13.2,6.07,13.5
183,61,High Top,High Top Red Pepper,80125812888,2.4100,7.06,5.05,1,0,22,8,4.13,19.5,18.6
184,61,High Top,High Top Garlic,83607030510,3.4000,20.0,18.0,1,1,22,13,22.7,11.8,6.41
185,61,High Top,High Top Potatos,43231598734,0.5700,9.3,7.3,1,0,24,12,11.4,8.03,4.14
186,61,High Top,High Top Cauliflower,82048452496,2.2300,18.7,17.7,0,0,20,7,9.53,13.4,8.09
187,61,High Top,High Top Tomatos,10910786986,1.3200,14.8,13.8,0,1,15,6,12.6,13.4,3.67
188,61,High Top,High Top Mushrooms,18965407013,2.5800,14.7,11.6,1,1,14,8,22.3,19.2,10.6
189,61,High Top,High Top Baby Onion,61946336627,3.4500,8.51,6.51,1,0,4,13,5.62,8.03,21.8
190,61,High Top,High Top Dried Mushrooms,39238722920,3.7400,18.7,17.7,1,1,29,6,9.59,17.9,5.47
191,61,High Top,High Top Fresh Lima Beans,86576589941,2.8700,12.6,9.6,1,0,22,7,19.9,14.4,16.7
192,61,High Top,High Top Squash,33106742501,1.5200,10.7,7.69,0,1,4,7,20.3,15.6,14.2
193,99,High Top,High Top Limes,25780245661,3.6800,11.8,9.8,1,0,11,13,8.64,14.9,18.3
194,67,High Top,High Top Firm Tofu,31548164486,3.3600,11.6,8.6,1,1,21,11,18.8,7.38,10.2
195,1,High Top,High Top Almonds,83459433913,1.7700,8.72,6.72,0,1,24,13,17.6,13.0,10.4
196,99,High Top,High Top Macintosh Apples,58465119004,2.4700,12.1,10.1,1,1,27,10,7.29,19.1,16.2
197,99,High Top,High Top Golden Delcious Apples,79614154696,2.9100,21.5,19.5,0,1,29,7,15.4,18.9,17.6
198,99,High Top,High Top Red Delcious Apples,78738434910,0.9200,17.2,14.2,1,1,27,13,6.26,7.83,5.92
199,99,High Top,High Top Lemons,69125236868,1.6700,19.2,18.2,1,0,33,10,19.8,4.92,4.65
200,99,High Top,High Top Fancy Plums,72606454491,2.6500,6.74,4.73,0,0,12,6,8.38,17.6,20.4
201,99,High Top,High Top Plums,32231022715,2.2500,14.7,12.6,0,0,29,14,10.8,11.8,7.33
202,99,High Top,High Top Peaches,71047876477,1.4900,11.8,8.8,0,0,24,6,6.61,10.7,10.1
203,61,High Top,High Top Broccoli,89910210967,0.6300,8.85,5.85,1,0,27,5,6.17,12.0,10.3
204,99,High Top,High Top Mandarin Oranges,97964830994,1.6000,13.6,10.6,0,0,31,7,22.6,17.0,20.7
205,1,High Top,High Top Mixed Nuts,86064931750,2.7100,13.9,11.8,1,0,9,5,4.96,11.8,5.0
206,1,High Top,High Top Canned Peanuts,50672228932,2.1100,10.9,7.89,0,1,15,7,22.6,19.6,17.8
207,61,High Top,High Top Sweet Onion,98010095953,1.2400,13.5,11.5,1,1,7,14,16.0,17.8,11.3
208,99,High Top,High Top Cantelope,44540248513,2.4700,13.4,10.3,1,1,23,6,6.06,21.4,8.32
209,99,High Top,High Top Honey Dew,37213751673,1.8700,17.3,15.2,1,0,16,6,7.99,18.6,21.4
210,99,High Top,High Top Fuji Apples,42981670498,1.5400,17.0,14.0,0,1,27,10,16.1,4.23,13.8
211,1,High Top,High Top Walnuts,94892939925,2.7200,14.5,12.5,1,0,1,7,4.6,12.1,14.0
212,99,High Top,High Top Oranges,69898625016,1.6600,9.78,7.77,0,0,14,9,13.1,4.27,12.3
213,99,High Top,High Top Tangerines,91047660708,0.5600,7.22,5.21,1,0,11,11,4.08,7.71,7.56
214,1,High Top,High Top Party Nuts,35291112065,2.8200,21.6,19.6,1,1,18,13,8.56,14.5,4.93
215,24,Tip Top,Tip Top Lox,80295071005,0.7900,14.1,11.1,1,0,10,13,12.1,12.0,11.6
216,2,Tip Top,Tip Top Scallops,83776288628,3.6000,21.3,20.2,1,1,22,7,18.3,18.3,6.31
217,45,Best Choice,Best Choice Low Fat Cookies,19498726725,0.6800,16.0,14.0,1,0,21,13,14.4,10.5,22.3
218,12,Best Choice,Best Choice BBQ Potato Chips,82217710614,3.4400,16.2,14.2,0,0,13,6,19.8,12.0,4.03
219,12,Best Choice,Best Choice Corn Chips,11080045104,2.5200,20.6,18.6,1,1,15,12,22.4,14.8,7.04
220,12,Best Choice,Best Choice Low Fat BBQ Chips,19134665131,2.5500,12.2,10.1,0,1,7,7,12.5,17.8,6.56
221,45,Best Choice,Best Choice Sugar Cookies,97234765887,3.6600,15.2,13.1,0,0,36,14,8.6,10.5,20.0
222,45,Best Choice,Best Choice Chocolate Chip Cookies,74527152180,3.9500,15.0,12.0,0,1,29,9,19.9,16.3,21.9
223,45,Best Choice,Best Choice Fudge Cookies,97962889075,3.1900,20.3,19.2,1,0,36,6,7.02,12.5,4.67
224,45,Best Choice,Best Choice Fudge Brownies,33276000618,1.7300,8.24,6.23,0,0,32,7,10.6,14.2,10.2
225,12,Best Choice,Best Choice Potato Chips,25949503779,3.8900,19.8,16.7,0,0,7,5,11.5,17.5,15.9
226,45,Best Choice,Best Choice Lemon Cookies,31717422604,0.7600,10.4,7.39,1,1,22,13,18.1,11.6,10.7
227,45,Best Choice,Best Choice Graham Crackers,83628692030,1.9800,15.7,14.6,0,1,12,9,5.65,5.62,3.49
228,82,Best Choice,Best Choice Cheese Crackers,58634377121,0.8200,8.71,6.71,0,1,11,14,22.6,7.63,7.58
229,54,Best Choice,Best Choice Buttered Popcorn,79783412814,2.2300,13.6,10.6,0,0,33,10,7.48,7.12,20.4
230,54,Best Choice,Best Choice No Salt Popcorn,24026864171,1.1900,14.7,12.6,1,1,21,12,5.64,11.9,6.97
231,54,Best Choice,Best Choice Low Fat Popcorn,14413666129,2.6500,10.0,8.0,0,0,30,11,22.8,7.41,22.8
232,83,Best Choice,Best Choice Salsa Dip,17894883751,2.6300,16.1,15.1,0,0,16,9,17.4,3.75,22.6
