product_id,brand_name,product_name,sku,srp,gross_weight,net_weight,recyclable_package,low_fat,units_per_case,cases_per_pallet,shelf_width,shelf_height,shelf_depth,product_subcategory,product_category,product_department,product_family
642,Bravo,Bravo Canned Yams,45213096737,1.66,7.39,6.38,1,1,21,7,17.1,21.2,11.9,Canned Vegetables,Vegetables,Canned Foods,Food
644,Bravo,Bravo Canned Tomatos,37010880112,0.87,13.4,11.3,0,0,32,10,20.5,3.37,21.3,Canned Vegetables,Vegetables,Canned Foods,Food
650,Bravo,Bravo Canned Peas,84712808728,1.55,17.5,15.5,1,1,17,6,21.1,8.36,4.22,Canned Vegetables,Vegetables,Canned Foods,Food
954,Just Right,Just Right Canned Beets,45425527691,1.74,8.66,6.65,1,0,32,6,8.79,9.41,3.67,Canned Vegetables,Vegetables,Canned Foods,Food
955,Just Right,Just Right Creamed Corn,64287862181,3.83,15.2,13.1,0,0,3,12,15.8,5.78,5.86,Canned Vegetables,Vegetables,Canned Foods,Food
956,Just Right,Just Right Canned String Beans,72342482209,1.2,10.0,9.0,1,1,13,6,22.0,12.3,19.3,Canned Vegetables,Vegetables,Canned Foods,Food
958,Just Right,Just Right Canned Yams,37734969258,1.36,19.7,18.7,1,0,34,6,22.0,14.6,17.6,Canned Vegetables,Vegetables,Canned Foods,Food
960,Just Right,Just Right Canned Tomatos,62581687569,2.15,18.0,16.0,0,1,23,6,6.49,10.6,14.4,Canned Vegetables,Vegetables,Canned Foods,Food
966,Just Right,Just Right Canned Peas,53332551121,2.49,8.02,5.02,1,0,20,11,11.0,10.5,11.2,Canned Vegetables,Vegetables,Canned Foods,Food
1265,Pleasant,Pleasant Canned Beets,59582259058,0.72,9.71,7.71,1,0,26,10,17.5,20.6,3.48,Canned Vegetables,Vegetables,Canned Foods,Food
1266,Pleasant,Pleasant Creamed Corn,65350177884,1.18,10.0,8.0,0,0,27,12,9.83,20.9,10.2,Canned Vegetables,Vegetables,Canned Foods,Food
1267,Pleasant,Pleasant Canned String Beans,16044406294,1.6,7.5,6.5,1,0,30,10,19.7,19.9,10.4,Canned Vegetables,Vegetables,Canned Foods,Food
1269,Pleasant,Pleasant Canned Yams,12199127078,3.97,11.5,8.5,0,0,16,12,6.88,9.72,10.3,Canned Vegetables,Vegetables,Canned Foods,Food
1271,Pleasant,Pleasant Canned Tomatos,36829380393,3.5,6.12,3.11,1,1,13,7,14.1,18.7,13.2,Canned Vegetables,Vegetables,Canned Foods,Food
1277,Pleasant,Pleasant Canned Peas,60845643877,2.54,19.9,17.8,1,0,25,7,16.3,22.5,17.6,Canned Vegetables,Vegetables,Canned Foods,Food
19,Blue Label,Blue Label Chicken Soup,47163524031,3.19,15.2,12.1,1,1,35,7,22.6,21.1,16.9,Soup,Canned Soup,Canned Foods,Food
21,Blue Label,Blue Label Vegetable Soup,43318244814,2.33,19.7,18.7,0,1,18,7,11.7,18.8,11.6,Soup,Canned Soup,Canned Foods,Food
23,Blue Label,Blue Label Noodle Soup,32829326987,1.75,10.6,9.6,1,0,17,9,19.8,3.16,15.7,Soup,Canned Soup,Canned Foods,Food
24,Blue Label,Blue Label Regular Ramen Soup,12408414483,1.73,12.8,10.8,0,1,23,8,20.7,21.3,6.98,Soup,Canned Soup,Canned Foods,Food
25,Blue Label,Blue Label Chicken Noodle Soup,62032982707,1.55,9.48,8.47,1,1,21,10,4.98,4.71,22.4,Soup,Canned Soup,Canned Foods,Food
26,Blue Label,Blue Label Turkey Noodle Soup,34751966595,0.88,16.5,13.5,1,1,21,11,12.8,11.0,12.0,Soup,Canned Soup,Canned Foods,Food
27,Blue Label,Blue Label Beef Soup,29712170958,2.65,11.2,8.19,0,1,14,12,9.91,7.62,3.1,Soup,Canned Soup,Canned Foods,Food
29,Blue Label,Blue Label Chicken Ramen Soup,25866891741,1.78,17.1,16.1,0,0,34,5,6.61,19.7,22.3,Soup,Canned Soup,Canned Foods,Food
37,Blue Label,Blue Label Rice Soup,32317668795,1.59,21.0,19.0,1,1,9,6,15.4,17.5,6.65,Soup,Canned Soup,Canned Foods,Food
330,Better,Better Chicken Soup,98413446545,3.98,7.47,5.46,0,0,8,7,19.9,16.2,11.9,Soup,Canned Soup,Canned Foods,Food
332,Better,Better Vegetable Soup,66045427918,2.21,9.36,7.35,0,0,25,8,22.8,21.3,7.64,Soup,Canned Soup,Canned Foods,Food
334,Better,Better Noodle Soup,31437914967,0.78,9.0,8.0,1,0,26,7,13.7,18.5,19.0,Soup,Canned Soup,Canned Foods,Food
335,Better,Better Regular Ramen Soup,78775781989,3.74,8.73,6.72,1,0,17,13,6.99,17.7,8.37,Soup,Canned Soup,Canned Foods,Food
336,Better,Better Chicken Noodle Soup,25305934548,1.15,13.1,11.1,1,0,2,10,19.9,3.92,3.89,Soup,Canned Soup,Canned Foods,Food
337,Better,Better Turkey Noodle Soup,17979437708,0.75,8.34,7.34,1,1,9,10,18.4,21.6,4.76,Soup,Canned Soup,Canned Foods,Food
338,Better,Better Beef Soup,23747356534,0.57,16.9,14.8,1,0,6,10,11.3,18.0,8.98,Soup,Canned Soup,Canned Foods,Food
340,Better,Better Chicken Ramen Soup,50664311051,0.63,16.0,13.0,1,1,6,12,20.5,5.21,15.5,Soup,Canned Soup,Canned Foods,Food
348,Better,Better Rice Soup,24066153168,1.23,7.98,5.98,1,0,25,5,7.29,14.6,7.97,Soup,Canned Soup,Canned Foods,Food
641,Bravo,Bravo Chicken Soup,39445177912,3.98,18.5,15.5,1,1,11,7,22.3,16.2,16.5,Soup,Canned Soup,Canned Foods,Food
643,Bravo,Bravo Vegetable Soup,62005195021,1.84,9.0,6.0,0,0,19,7,7.64,17.2,5.81,Soup,Canned Soup,Canned Foods,Food
645,Bravo,Bravo Noodle Soup,58159915804,3.32,6.41,5.4,0,0,8,5,5.97,19.8,7.91,Soup,Canned Soup,Canned Foods,Food
646,Bravo,Bravo Regular Ramen Soup,92403367161,1.28,6.18,4.17,1,0,1,10,17.2,5.63,9.86,Soup,Canned Soup,Canned Foods,Food
647,Bravo,Bravo Chicken Noodle Soup,82790169119,2.74,17.7,15.7,1,0,23,14,15.1,17.5,21.0,Soup,Canned Soup,Canned Foods,Food
648,Bravo,Bravo Turkey Noodle Soup,62369256615,2.72,12.5,11.5,1,0,5,11,21.3,4.13,14.5,Soup,Canned Soup,Canned Foods,Food
649,Bravo,Bravo Beef Soup,21993824839,2.55,17.2,14.2,0,1,15,14,8.85,8.08,17.4,Soup,Canned Soup,Canned Foods,Food
651,Bravo,Bravo Chicken Ramen Soup,66987923979,0.8,15.0,13.0,0,1,19,14,11.0,7.36,4.38,Soup,Canned Soup,Canned Foods,Food
659,Bravo,Bravo Rice Soup,18557872176,3.21,15.8,14.8,1,1,1,10,18.6,11.8,19.1,Soup,Canned Soup,Canned Foods,Food
957,Just Right,Just Right Chicken Soup,60442582964,2.97,13.5,12.5,1,1,10,11,20.4,10.6,17.6,Soup,Canned Soup,Canned Foods,Food
959,Just Right,Just Right Vegetable Soup,26051535010,1.5,17.2,15.2,0,0,2,13,12.0,13.6,17.7,Soup,Canned Soup,Canned Foods,Food
961,Just Right,Just Right Noodle Soup,55255190730,1.31,9.1,7.1,0,1,35,12,4.49,11.4,21.6,Soup,Canned Soup,Canned Foods,Food
962,Just Right,Just Right Regular Ramen Soup,61023109555,1.87,9.31,6.31,1,1,10,7,9.47,15.1,13.2,Soup,Canned Soup,Canned Foods,Food
963,Just Right,Just Right Chicken Noodle Soup,22934378981,2.4,20.5,18.5,1,1,6,13,6.68,10.6,9.16,Soup,Canned Soup,Canned Foods,Food
964,Just Right,Just Right Turkey Noodle Soup,87940064072,1.99,16.7,14.7,0,0,24,6,19.7,16.1,7.25,Soup,Canned Soup,Canned Foods,Food
965,Just Right,Just Right Beef Soup,19089099764,1.53,17.3,16.2,0,1,10,10,6.67,3.18,16.4,Soup,Canned Soup,Canned Foods,Food
967,Just Right,Just Right Chicken Ramen Soup,43719353079,0.61,12.3,11.3,1,1,34,11,15.2,4.49,14.2,Soup,Canned Soup,Canned Foods,Food
975,Just Right,Just Right Rice Soup,74072260260,3.76,7.12,6.11,0,1,14,7,18.9,12.6,21.3,Soup,Canned Soup,Canned Foods,Food
1268,Pleasant,Pleasant Chicken Soup,81050091385,1.3,20.5,18.5,0,1,33,11,8.88,8.95,3.14,Soup,Canned Soup,Canned Foods,Food
1270,Pleasant,Pleasant Vegetable Soup,46442578434,2.69,20.5,18.5,1,0,4,13,22.5,9.5,9.38,Soup,Canned Soup,Canned Foods,Food
1272,Pleasant,Pleasant Noodle Soup,16408467888,2.48,18.2,16.2,0,1,31,9,7.15,4.35,11.3,Soup,Canned Soup,Canned Foods,Food
1273,Pleasant,Pleasant Regular Ramen Soup,66033036112,3.31,12.5,9.5,1,1,4,7,19.7,17.5,12.5,Soup,Canned Soup,Canned Foods,Food
1274,Pleasant,Pleasant Chicken Noodle Soup,38752020001,1.31,20.2,19.2,1,0,36,10,8.2,20.5,17.0,Soup,Canned Soup,Canned Foods,Food
1275,Pleasant,Pleasant Turkey Noodle Soup,33712224364,1.17,13.5,12.5,1,0,9,6,17.6,22.6,3.46,Soup,Canned Soup,Canned Foods,Food
1276,Pleasant,Pleasant Beef Soup,96647673249,1.43,16.9,14.8,1,0,2,8,18.9,18.7,4.16,Soup,Canned Soup,Canned Foods,Food
1278,Pleasant,Pleasant Chicken Ramen Soup,62040160298,2.82,20.2,19.2,1,1,9,9,8.26,5.08,14.4,Soup,Canned Soup,Canned Foods,Food
1286,Pleasant,Pleasant Rice Soup,35442002415,0.9,14.0,12.0,1,1,33,8,4.61,16.9,6.29,Soup,Canned Soup,Canned Foods,Food
30,Blue Label,Blue Label Canned Tuna in Water,93159278035,1.41,9.71,7.71,1,0,31,5,19.5,16.1,6.61,Tuna,Canned Tuna,Canned Foods,Food
31,Blue Label,Blue Label Canned Tuna in Oil,50497145056,1.55,17.2,15.2,1,0,28,12,19.7,13.6,3.63,Tuna,Canned Tuna,Canned Foods,Food
341,Better,Better Canned Tuna in Water,60596305727,2.77,21.7,19.7,0,0,19,6,22.9,19.2,3.0,Tuna,Canned Tuna,Canned Foods,Food
342,Better,Better Canned Tuna in Oil,94839757084,1.5,14.2,13.1,1,1,26,11,17.7,4.6,17.2,Tuna,Canned Tuna,Canned Foods,Food
652,Bravo,Bravo Canned Tuna in Water,98944674134,1.67,10.7,9.69,1,0,23,14,20.2,16.2,17.6,Tuna,Canned Tuna,Canned Foods,Food
653,Bravo,Bravo Canned Tuna in Oil,63142644762,2.78,9.71,7.71,1,1,28,13,15.7,11.9,17.3,Tuna,Canned Tuna,Canned Foods,Food
968,Just Right,Just Right Canned Tuna in Water,35983529686,1.28,9.48,8.47,0,1,16,14,11.1,12.3,12.0,Tuna,Canned Tuna,Canned Foods,Food
969,Just Right,Just Right Canned Tuna in Oil,85608097910,1.76,7.43,5.42,0,0,4,13,3.37,8.02,22.0,Tuna,Canned Tuna,Canned Foods,Food
1279,Pleasant,Pleasant Canned Tuna in Water,85475897192,2.96,6.41,3.4,1,0,16,8,19.6,15.5,13.1,Tuna,Canned Tuna,Canned Foods,Food
1280,Pleasant,Pleasant Canned Tuna in Oil,32006049752,1.37,8.91,5.9,1,0,7,9,4.84,8.17,19.2,Tuna,Canned Tuna,Canned Foods,Food
32,Blue Label,Blue Label Large Canned Shrimp,87027297616,2.86,8.86,6.85,0,0,2,11,8.73,3.34,13.1,Shrimp,Canned Shrimp,Canned Foods,Food
343,Better,Better Large Canned Shrimp,85226559042,2.3,8.55,6.55,0,0,29,10,10.5,6.7,13.3,Shrimp,Canned Shrimp,Canned Foods,Food
654,Bravo,Bravo Large Canned Shrimp,64337161183,2.17,10.8,7.8,0,0,29,7,13.8,16.7,3.85,Shrimp,Canned Shrimp,Canned Foods,Food
970,Just Right,Just Right Large Canned Shrimp,34424951672,3.11,13.9,12.8,0,1,3,14,6.05,6.26,7.29,Shrimp,Canned Shrimp,Canned Foods,Food
1281,Pleasant,Pleasant Large Canned Shrimp,48581683039,2.77,16.0,14.0,0,1,13,10,20.9,20.0,16.3,Shrimp,Canned Shrimp,Canned Foods,Food
33,Blue Label,Blue Label Fancy Canned Anchovies,44581629633,1.36,8.27,6.27,0,1,16,5,5.9,9.12,17.7,Anchovies,Canned Anchovies,Canned Foods,Food
344,Better,Better Fancy Canned Anchovies,88707776665,2.28,10.5,7.5,1,1,24,5,14.0,9.34,14.6,Anchovies,Canned Anchovies,Canned Foods,Food
655,Bravo,Bravo Fancy Canned Anchovies,87772898077,2.31,8.33,5.32,0,1,5,11,15.0,8.05,8.9,Anchovies,Canned Anchovies,Canned Foods,Food
971,Just Right,Just Right Fancy Canned Anchovies,53287286162,2.85,10.1,7.1,1,1,9,12,8.07,12.9,12.8,Anchovies,Canned Anchovies,Canned Foods,Food
1282,Pleasant,Pleasant Fancy Canned Anchovies,54349601864,3.44,9.42,7.42,1,1,30,11,12.1,6.6,15.2,Anchovies,Canned Anchovies,Canned Foods,Food
34,Blue Label,Blue Label Fancy Canned Clams,50349548459,1.69,16.7,14.7,1,1,30,9,20.6,14.4,11.9,Clams,Canned Clams,Canned Foods,Food
345,Better,Better Fancy Canned Clams,24430214762,2.11,17.6,16.6,1,1,36,12,12.0,10.1,21.7,Clams,Canned Clams,Canned Foods,Food
656,Bravo,Bravo Fancy Canned Clams,34303050637,3.85,20.4,17.3,1,0,16,6,8.12,13.6,6.99,Clams,Canned Clams,Canned Foods,Food
