customer_id,city,country,age,age_category,yearly_income,gender,total_children,education,occupation,effective_date
44,Bellflower,USA,81,>75,$30K - $50K,M,1,High School Degree,Skilled Manual,2023-04-18
45,Renton,USA,82,>75,$50K - $70K,M,5,Bachelors Degree,Management,2023-04-18
46,Mill Valley,USA,70,65 - 75,$70K - $90K,F,1,Graduate Degree,Professional,2023-04-18
47,Oak Bay,Canada,47,36 - 50,$50K - $70K,M,0,Bachelors Degree,Professional,2023-04-18
48,Camacho,Mexico,71,65 - 75,$50K - $70K,M,0,Bachelors Degree,Professional,2023-04-18
49,Arcadia,USA,68,65 - 75,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
50,Altadena,USA,76,>75,$110K - $130K,M,4,Partial High School,Professional,2023-04-18
51,Oakland,USA,43,36 - 50,$90K - $110K,F,4,Graduate Degree,Professional,2023-04-18
52,Tixapan,Mexico,86,>75,$70K - $90K,F,3,Bachelors Degree,Professional,2023-04-18
53,Oak Bay,Canada,66,65 - 75,$70K - $90K,M,4,Graduate Degree,Management,2023-04-18
54,Metchosin,Canada,37,36 - 50,$30K - $50K,F,0,Partial College,Professional,2023-04-18
55,Grossmont,USA,74,65 - 75,$10K - $30K,M,3,Partial High School,Skilled Manual,2023-04-18
56,Imperial Beach,USA,63,51 - 64,$10K - $30K,M,3,Partial High School,Manual,2023-04-18
57,San Andres,Mexico,38,36 - 50,$10K - $30K,M,3,Partial High School,Manual,2023-04-18
58,Oakland,USA,42,36 - 50,$30K - $50K,F,3,Partial High School,Skilled Manual,2023-04-18
59,Burnaby,Canada,56,51 - 64,$30K - $50K,M,5,High School Degree,Manual,2023-04-18
60,Langley,Canada,84,>75,$30K - $50K,M,3,Partial College,Skilled Manual,2023-04-18
61,Tacoma,USA,53,51 - 64,$70K - $90K,M,1,Bachelors Degree,Professional,2023-04-18
62,Santa Monica,USA,67,65 - 75,$30K - $50K,M,1,High School Degree,Skilled Manual,2023-04-18
63,Tlaxiaco,Mexico,82,>75,$70K - $90K,F,4,Bachelors Degree,Professional,2023-04-18
64,Beaverton,USA,66,65 - 75,$10K - $30K,M,4,Partial High School,Manual,2023-04-18
65,Metchosin,Canada,19,17 - 25,$90K - $110K,F,0,Partial College,Management,2023-04-18
66,Metchosin,Canada,65,65 - 75,$110K - $130K,F,4,Partial College,Professional,2023-04-18
67,Westminster,Canada,70,65 - 75,$30K - $50K,M,3,Partial College,Skilled Manual,2023-04-18
68,Hidalgo,Mexico,81,>75,$30K - $50K,F,0,High School Degree,Manual,2023-04-18
69,Los Angeles,USA,29,26 - 35,$10K - $30K,M,1,Partial High School,Skilled Manual,2023-04-18
70,Coronado,USA,26,26 - 35,$30K - $50K,M,0,High School Degree,Manual,2023-04-18
71,La Cruz,Mexico,31,26 - 35,$10K - $30K,M,5,Partial High School,Manual,2023-04-18
72,Shawnee,Canada,58,51 - 64,$10K - $30K,F,5,Partial High School,Skilled Manual,2023-04-18
73,Yakima,USA,73,65 - 75,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
74,Ballard,USA,33,26 - 35,$50K - $70K,M,3,Bachelors Degree,Professional,2023-04-18
75,Lynnwood,USA,85,>75,$30K - $50K,F,3,High School Degree,Manual,2023-04-18
76,Port Orchard,USA,81,>75,$70K - $90K,F,1,High School Degree,Professional,2023-04-18
77,Downey,USA,77,>75,$50K - $70K,M,2,Bachelors Degree,Professional,2023-04-18
78,Salem,USA,58,51 - 64,$10K - $30K,M,1,Partial High School,Manual,2023-04-18
79,Tacoma,USA,41,36 - 50,$70K - $90K,M,2,Bachelors Degree,Management,2023-04-18
80,Lemon Grove,USA,52,51 - 64,$70K - $90K,F,1,Bachelors Degree,Management,2023-04-18
81,Milwaukie,USA,54,51 - 64,$10K - $30K,M,2,Partial High School,Skilled Manual,2023-04-18
82,Richmond,USA,57,51 - 64,$10K - $30K,F,4,Partial High School,Skilled Manual,2023-04-18
83,Arcadia,USA,29,26 - 35,$110K - $130K,F,3,Partial High School,Management,2023-04-18
84,Haney,Canada,66,65 - 75,$50K - $70K,M,4,Bachelors Degree,Professional,2023-04-18
85,Novato,USA,52,51 - 64,$30K - $50K,M,3,High School Degree,Skilled Manual,2023-04-18
86,Bremerton,USA,87,>75,$30K - $50K,M,4,Partial High School,Skilled Manual,2023-04-18
87,N. Vancouver,Canada,49,36 - 50,$70K - $90K,F,4,High School Degree,Management,2023-04-18
88,Milwaukie,USA,55,51 - 64,$30K - $50K,F,2,High School Degree,Manual,2023-04-18
89,Woodland Hills,USA,24,17 - 25,$70K - $90K,F,4,High School Degree,Management,2023-04-18
90,Sooke,Canada,22,17 - 25,$70K - $90K,F,2,High School Degree,Professional,2023-04-18
91,Long Beach,USA,42,36 - 50,$50K - $70K,M,1,Bachelors Degree,Professional,2023-04-18
92,Arcadia,USA,64,>75,$30K - $50K,M,4,High School Degree,Skilled Manual,2023-04-18
93,Woodburn,USA,28,26 - 35,$130K - $150K,M,5,Bachelors Degree,Professional,2023-04-18
94,Vancouver,Canada,59,51 - 64,$10K - $30K,M,1,Partial High School,Skilled Manual,2023-04-18
95,Tlaxiaco,Mexico,68,65 - 75,$130K - $150K,F,2,Graduate Degree,Professional,2023-04-18
96,Beaverton,USA,47,36 - 50,$50K - $70K,M,0,Bachelors Degree,Management,2023-04-18
97,Richmond,Canada,75,>75,$50K - $70K,M,4,High School Degree,Skilled Manual,2023-04-18
98,Richmond,Canada,46,36 - 50,$130K - $150K,F,1,High School Degree,Management,2023-04-18
99,Port Orchard,USA,64,>75,$30K - $50K,F,3,Bachelors Degree,Professional,2023-04-18
100,San Jose,USA,69,65 - 75,$90K - $110K,F,2,Partial High School,Professional,2023-04-18
101,N. Vancouver,Canada,23,17 - 25,$10K - $30K,F,1,Partial High School,Manual,2023-04-18
102,Langford,Canada,26,26 - 35,$30K - $50K,M,2,Bachelors Degree,Professional,2023-04-18
103,Acapulco,Mexico,84,>75,$50K - $70K,M,5,Bachelors Degree,Professional,2023-04-18
104,Hidalgo,Mexico,46,36 - 50,$30K - $50K,F,1,Partial College,Clerical,2023-04-18
105,National City,USA,65,65 - 75,$150K +,M,3,Bachelors Degree,Management,2023-04-18
106,Long Beach,USA,19,17 - 25,$50K - $70K,M,5,Bachelors Degree,Professional,2023-04-18
107,Cliffside,Canada,77,>75,$30K - $50K,M,2,High School Degree,Manual,2023-04-18
108,Shawnee,Canada,67,65 - 75,$90K - $110K,M,1,Bachelors Degree,Management,2023-04-18
109,Newton,Canada,69,65 - 75,$50K - $70K,M,2,Bachelors Degree,Professional,2023-04-18
110,West Covina,USA,56,51 - 64,$10K - $30K,M,3,Partial High School,Manual,2023-04-18
111,Palo Alto,USA,33,26 - 35,$70K - $90K,F,2,Bachelors Degree,Management,2023-04-18
112,Santa Monica,USA,50,>75,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
113,Sooke,Canada,34,26 - 35,$110K - $130K,F,2,Bachelors Degree,Professional,2023-04-18
114,Sooke,Canada,55,51 - 64,$150K +,F,3,High School Degree,Professional,2023-04-18
115,Altadena,USA,21,17 - 25,$90K - $110K,F,3,Bachelors Degree,Professional,2023-04-18
116,Burnaby,Canada,64,>75,$90K - $110K,M,2,High School Degree,Management,2023-04-18
117,Albany,USA,44,36 - 50,$90K - $110K,F,3,Graduate Degree,Professional,2023-04-18
118,Bremerton,USA,85,>75,$50K - $70K,M,2,Bachelors Degree,Professional,2023-04-18
119,N. Vancouver,Canada,41,36 - 50,$10K - $30K,M,4,Partial High School,Manual,2023-04-18
120,Milwaukie,USA,41,36 - 50,$30K - $50K,F,0,High School Degree,Skilled Manual,2023-04-18
121,Santa Monica,USA,86,>75,$30K - $50K,F,5,High School Degree,Manual,2023-04-18
122,Walla Walla,USA,78,>75,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
123,Richmond,USA,34,26 - 35,$30K - $50K,F,2,High School Degree,Manual,2023-04-18
124,Oakland,USA,68,65 - 75,$70K - $90K,F,5,Bachelors Degree,Professional,2023-04-18
125,Bellflower,USA,26,26 - 35,$70K - $90K,M,2,Bachelors Degree,Professional,2023-04-18
126,Ballard,USA,51,51 - 64,$110K - $130K,F,2,Partial College,Professional,2023-04-18
127,Everett,USA,66,65 - 75,$10K - $30K,M,1,Partial High School,Skilled Manual,2023-04-18
128,Salem,USA,51,51 - 64,$30K - $50K,F,1,High School Degree,Skilled Manual,2023-04-18
129,Concord,USA,73,65 - 75,$50K - $70K,F,0,Bachelors Degree,Professional,2023-04-18
130,Concord,USA,49,36 - 50,$110K - $130K,F,4,Graduate Degree,Professional,2023-04-18
131,La Jolla,USA,54,51 - 64,$10K - $30K,M,3,Partial High School,Manual,2023-04-18
132,Cliffside,Canada,65,65 - 75,$30K - $50K,F,0,High School Degree,Skilled Manual,2023-04-18
133,Burbank,USA,83,>75,$30K - $50K,M,1,High School Degree,Skilled Manual,2023-04-18
134,Spokane,USA,80,>75,$50K - $70K,M,4,Bachelors Degree,Professional,2023-04-18
135,Tixapan,Mexico,74,65 - 75,$110K - $130K,M,5,Bachelors Degree,Professional,2023-04-18
136,Lynnwood,USA,42,36 - 50,$150K +,M,3,Bachelors Degree,Professional,2023-04-18
137,Newport Beach,USA,55,51 - 64,$130K - $150K,F,3,Partial College,Professional,2023-04-18
138,Oak Bay,Canada,73,65 - 75,$90K - $110K,F,4,Partial High School,Professional,2023-04-18
139,Coronado,USA,67,65 - 75,$30K - $50K,M,1,Partial High School,Manual,2023-04-18
140,La Mesa,USA,51,51 - 64,$10K - $30K,M,2,Partial High School,Skilled Manual,2023-04-18
141,Santa Anita,Mexico,59,51 - 64,$10K - $30K,M,4,Partial High School,Skilled Manual,2023-04-18
142,Renton,USA,40,36 - 50,$50K - $70K,F,2,Bachelors Degree,Professional,2023-04-18
143,Glendale,USA,23,17 - 25,$30K - $50K,F,5,Partial College,Manual,2023-04-18
144,Westminster,Canada,34,26 - 35,$10K - $30K,M,3,Partial High School,Skilled Manual,2023-04-18
145,Victoria,Canada,24,17 - 25,$10K - $30K,M,3,Partial High School,Manual,2023-04-18
146,Victoria,Canada,38,36 - 50,$130K - $150K,M,2,Partial High School,Professional,2023-04-18
147,Sooke,Canada,81,>75,$110K - $130K,M,4,Bachelors Degree,Professional,2023-04-18
148,Kirkland,USA,48,36 - 50,$70K - $90K,M,2,High School Degree,Management,2023-04-18
149,Chula Vista,USA,34,26 - 35,$50K - $70K,M,1,Bachelors Degree,Professional,2023-04-18
150,Seattle,USA,69,65 - 75,$30K - $50K,F,4,High School Degree,Manual,2023-04-18
151,San Jose,USA,39,36 - 50,$30K - $50K,F,3,Partial College,Management,2023-04-18
152,Ballard,USA,45,36 - 50,$150K +,F,2,High School Degree,Professional,2023-04-18
153,Guadalajara,Mexico,84,>75,$10K - $30K,F,3,Partial High School,Manual,2023-04-18
154,Lebanon,USA,82,>75,$50K - $70K,F,0,Bachelors Degree,Professional,2023-04-18
155,Port Hammond,Canada,32,26 - 35,$110K - $130K,M,1,Partial High School,Professional,2023-04-18
156,Sooke,Canada,54,51 - 64,$130K - $150K,M,1,Bachelors Degree,Professional,2023-04-18
157,La Mesa,USA,88,>75,$50K - $70K,F,2,Bachelors Degree,Professional,2023-04-18
158,Tacoma,USA,37,36 - 50,$130K - $150K,F,3,Partial College,Management,2023-04-18
159,Milwaukie,USA,58,51 - 64,$30K - $50K,M,4,High School Degree,Skilled Manual,2023-04-18
160,Renton,USA,37,36 - 50,$90K - $110K,F,1,Partial High School,Professional,2023-04-18
161,Grossmont,USA,65,65 - 75,$30K - $50K,F,1,High School Degree,Manual,2023-04-18
162,Ladner,Canada,35,>75,$30K - $50K,F,3,Partial High School,Manual,2023-04-18
163,Los Angeles,USA,46,36 - 50,$10K - $30K,F,5,Partial High School,Skilled Manual,2023-04-18
164,Coronado,USA,51,51 - 64,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
165,Milwaukie,USA,63,51 - 64,$130K - $150K,M,2,Bachelors Degree,Professional,2023-04-18
166,Oak Bay,Canada,66,65 - 75,$30K - $50K,F,4,High School Degree,Manual,2023-04-18
167,Lemon Grove,USA,66,65 - 75,$70K - $90K,M,2,Graduate Degree,Professional,2023-04-18
168,Walla Walla,USA,35,>75,$10K - $30K,F,4,Partial High School,Manual,2023-04-18
169,Lebanon,USA,42,36 - 50,$50K - $70K,F,0,Partial High School,Manual,2023-04-18
170,Los Angeles,USA,78,>75,$10K - $30K,M,1,Partial High School,Skilled Manual,2023-04-18
171,Downey,USA,66,65 - 75,$10K - $30K,M,4,Partial High School,Manual,2023-04-18
172,West Covina,USA,56,51 - 64,$50K - $70K,F,3,Bachelors Degree,Professional,2023-04-18
173,Bellingham,USA,58,51 - 64,$50K - $70K,F,3,High School Degree,Manual,2023-04-18
174,San Carlos,USA,45,36 - 50,$90K - $110K,F,4,High School Degree,Management,2023-04-18
175,Metchosin,Canada,22,17 - 25,$70K - $90K,F,0,Graduate Degree,Professional,2023-04-18
176,Concord,USA,38,36 - 50,$110K - $130K,M,2,Partial College,Professional,2023-04-18
177,Corvallis,USA,23,17 - 25,$10K - $30K,M,0,Partial High School,Skilled Manual,2023-04-18
178,Woodburn,USA,31,26 - 35,$30K - $50K,M,1,Partial College,Manual,2023-04-18
179,Lakewood,USA,80,>75,$130K - $150K,M,1,Graduate Degree,Professional,2023-04-18
180,Seattle,USA,53,51 - 64,$50K - $70K,F,4,Bachelors Degree,Professional,2023-04-18
181,Bremerton,USA,33,26 - 35,$30K - $50K,F,1,High School Degree,Manual,2023-04-18
182,Everett,USA,74,65 - 75,$110K - $130K,F,1,Graduate Degree,Management,2023-04-18
183,Langford,Canada,29,26 - 35,$130K - $150K,M,2,Graduate Degree,Professional,2023-04-18
184,Oak Bay,Canada,30,26 - 35,$70K - $90K,F,4,High School Degree,Professional,2023-04-18
185,Edmonds,USA,75,>75,$10K - $30K,M,4,Partial High School,Manual,2023-04-18
186,Imperial Beach,USA,67,65 - 75,$110K - $130K,F,3,Partial High School,Professional,2023-04-18
187,Woodburn,USA,23,17 - 25,$10K - $30K,M,0,Partial High School,Manual,2023-04-18
188,Albany,USA,39,36 - 50,$30K - $50K,F,4,High School Degree,Skilled Manual,2023-04-18
189,Metchosin,Canada,79,>75,$10K - $30K,M,2,Partial High School,Skilled Manual,2023-04-18
190,Corvallis,USA,34,26 - 35,$110K - $130K,F,1,Partial College,Professional,2023-04-18
191,Arcadia,USA,49,36 - 50,$30K - $50K,F,4,Partial College,Manual,2023-04-18
192,Spokane,USA,21,17 - 25,$50K - $70K,F,4,Bachelors Degree,Professional,2023-04-18
193,Los Angeles,USA,56,51 - 64,$30K - $50K,M,0,Partial College,Skilled Manual,2023-04-18
194,Mexico City,Mexico,28,26 - 35,$30K - $50K,F,1,Partial College,Skilled Manual,2023-04-18
195,N. Vancouver,Canada,33,26 - 35,$50K - $70K,F,4,Bachelors Degree,Professional,2023-04-18
196,Daly City,USA,32,26 - 35,$10K - $30K,M,2,Partial High School,Manual,2023-04-18
197,National City,USA,50,>75,$10K - $30K,F,1,High School Degree,Skilled Manual,2023-04-18
198,Imperial Beach,USA,59,51 - 64,$10K - $30K,F,1,Partial High School,Skilled Manual,2023-04-18
199,Richmond,USA,52,51 - 64,$10K - $30K,M,0,Bachelors Degree,Professional,2023-04-18
200,Los Angeles,USA,21,17 - 25,$50K - $70K,F,5,Partial College,Skilled Manual,2023-04-18
201,Santa Fe,Mexico,22,17 - 25,$50K - $70K,F,1,Bachelors Degree,Professional,2023-04-18
202,Santa Cruz,USA,52,51 - 64,$10K - $30K,F,5,Partial High School,Manual,2023-04-18
203,Newton,Canada,46,36 - 50,$50K - $70K,M,1,Bachelors Degree,Management,2023-04-18
204,N. Vancouver,Canada,30,26 - 35,$130K - $150K,M,2,High School Degree,Management,2023-04-18
205,San Diego,USA,38,36 - 50,$110K - $130K,M,5,Bachelors Degree,Management,2023-04-18
206,Sedro Woolley,USA,19,17 - 25,$50K - $70K,F,3,Bachelors Degree,Management,2023-04-18
207,La Jolla,USA,60,51 - 64,$70K - $90K,M,2,Graduate Degree,Professional,2023-04-18
208,Woodburn,USA,82,>75,$130K - $150K,F,2,Partial College,Professional,2023-04-18
209,Imperial Beach,USA,73,65 - 75,$70K - $90K,M,2,Bachelors Degree,Professional,2023-04-18
210,Burnaby,Canada,87,>75,$70K - $90K,F,1,Graduate Degree,Management,2023-04-18
211,Santa Anita,Mexico,60,51 - 64,$10K - $30K,M,3,Partial High School,Skilled Manual,2023-04-18
212,Novato,USA,27,26 - 35,$10K - $30K,M,4,Partial High School,Manual,2023-04-18
213,Woodland Hills,USA,83,>75,$30K - $50K,F,3,High School Degree,Manual,2023-04-18
214,Ladner,Canada,48,36 - 50,$30K - $50K,M,1,High School Degree,Manual,2023-04-18
215,National City,USA,79,>75,$50K - $70K,M,5,Partial College,Professional,2023-04-18
216,Olympia,USA,74,65 - 75,$70K - $90K,F,2,High School Degree,Professional,2023-04-18
217,Woodburn,USA,73,65 - 75,$50K - $70K,M,5,Partial College,Skilled Manual,2023-04-18
218,Santa Anita,Mexico,59,51 - 64,$70K - $90K,M,2,Bachelors Degree,Professional,2023-04-18
219,Bellflower,USA,21,17 - 25,$30K - $50K,M,2,High School Degree,Skilled Manual,2023-04-18
220,Torrance,USA,43,36 - 50,$50K - $70K,F,2,Bachelors Degree,Management,2023-04-18
221,Lynnwood,USA,76,>75,$30K - $50K,F,2,Partial College,Skilled Manual,2023-04-18
222,Lemon Grove,USA,26,26 - 35,$90K - $110K,F,0,High School Degree,Professional,2023-04-18
223,Sooke,Canada,35,>75,$10K - $30K,F,1,Partial High School,Manual,2023-04-18
224,La Cruz,Mexico,25,>75,$10K - $30K,F,3,Partial High School,Skilled Manual,2023-04-18
225,Beaverton,USA,42,36 - 50,$30K - $50K,M,5,High School Degree,Manual,2023-04-18
226,W. Linn,USA,24,17 - 25,$90K - $110K,F,2,Graduate Degree,Professional,2023-04-18
227,Burbank,USA,35,>75,$30K - $50K,F,3,High School Degree,Manual,2023-04-18
228,El Cajon,USA,40,36 - 50,$90K - $110K,F,3,High School Degree,Professional,2023-04-18
229,Renton,USA,52,51 - 64,$70K - $90K,F,1,Graduate Degree,Management,2023-04-18
230,Bellingham,USA,55,51 - 64,$10K - $30K,M,2,Partial High School,Manual,2023-04-18
231,Oak Bay,Canada,54,51 - 64,$30K - $50K,F,5,Partial College,Clerical,2023-04-18
232,Ladner,Canada,87,>75,$110K - $130K,F,1,Bachelors Degree,Management,2023-04-18
233,Sedro Woolley,USA,24,17 - 25,$130K - $150K,M,3,High School Degree,Professional,2023-04-18
234,La Mesa,USA,60,51 - 64,$10K - $30K,M,3,Partial High School,Manual,2023-04-18
235,W. Linn,USA,78,>75,$70K - $90K,M,2,Bachelors Degree,Professional,2023-04-18
236,Oregon City,USA,68,65 - 75,$10K - $30K,M,1,Partial High School,Skilled Manual,2023-04-18
237,Royal Oak,Canada,57,51 - 64,$70K - $90K,M,0,Bachelors Degree,Management,2023-04-18
238,Milwaukie,USA,44,36 - 50,$10K - $30K,F,1,Partial High School,Manual,2023-04-18
239,Concord,USA,22,17 - 25,$110K - $130K,M,1,Graduate Degree,Professional,2023-04-18
240,Glendale,USA,38,36 - 50,$30K - $50K,M,2,Partial High School,Skilled Manual,2023-04-18
241,San Andres,Mexico,35,>75,$90K - $110K,M,4,High School Degree,Professional,2023-04-18
242,San Andres,Mexico,43,36 - 50,$10K - $30K,M,1,Partial High School,Manual,2023-04-18
243,Burnaby,Canada,80,>75,$30K - $50K,M,1,High School Degree,Manual,2023-04-18
244,Merida,Mexico,53,51 - 64,$50K - $70K,F,3,Bachelors Degree,Professional,2023-04-18
245,Vancouver,Canada,45,36 - 50,$130K - $150K,M,5,High School Degree,Professional,2023-04-18
246,Lincoln Acres,USA,74,65 - 75,$30K - $50K,M,4,High School Degree,Manual,2023-04-18
247,Tlaxiaco,Mexico,41,36 - 50,$50K - $70K,F,1,Bachelors Degree,Professional,2023-04-18
248,Tixapan,Mexico,42,36 - 50,$30K - $50K,M,1,Partial College,Clerical,2023-04-18
249,Richmond,Canada,87,>75,$10K - $30K,F,1,Partial High School,Manual,2023-04-18
250,Lake Oswego,USA,79,>75,$30K - $50K,M,1,High School Degree,Manual,2023-04-18
251,La Mesa,USA,23,17 - 25,$30K - $50K,F,3,High School Degree,Skilled Manual,2023-04-18
252,Chula Vista,USA,35,>75,$30K - $50K,M,1,High School Degree,Skilled Manual,2023-04-18
253,Daly City,USA,74,65 - 75,$130K - $150K,F,4,Partial High School,Professional,2023-04-18
254,Metchosin,Canada,87,>75,$10K - $30K,M,4,Partial High School,Skilled Manual,2023-04-18
255,Torrance,USA,33,26 - 35,$30K - $50K,M,2,High School Degree,Manual,2023-04-18
256,Haney,Canada,87,>75,$10K - $30K,M,2,Partial High School,Manual,2023-04-18
257,National City,USA,40,36 - 50,$30K - $50K,F,3,High School Degree,Manual,2023-04-18
258,Coronado,USA,86,>75,$30K - $50K,M,2,High School Degree,Manual,2023-04-18
259,Cliffside,Canada,21,17 - 25,$10K - $30K,M,2,Partial High School,Manual,2023-04-18
260,W. Linn,USA,32,26 - 35,$50K - $70K,M,5,Bachelors Degree,Management,2023-04-18
261,Spring Valley,USA,50,>75,$130K - $150K,M,4,Partial High School,Professional,2023-04-18
262,Westminster,Canada,59,51 - 64,$70K - $90K,F,4,Bachelors Degree,Professional,2023-04-18
263,Guadalajara,Mexico,52,51 - 64,$10K - $30K,F,0,Partial High School,Skilled Manual,2023-04-18
264,Sedro Woolley,USA,79,>75,$10K - $30K,F,0,Partial High School,Manual,2023-04-18
265,Lake Oswego,USA,22,17 - 25,$10K - $30K,F,4,Partial High School,Skilled Manual,2023-04-18
266,Cliffside,Canada,52,51 - 64,$10K - $30K,M,2,Partial High School,Manual,2023-04-18
267,Altadena,USA,34,26 - 35,$130K - $150K,F,3,Graduate Degree,Professional,2023-04-18
268,San Gabriel,USA,30,26 - 35,$30K - $50K,M,0,High School Degree,Skilled Manual,2023-04-18
269,Novato,USA,25,>75,$10K - $30K,F,2,Partial High School,Manual,2023-04-18
270,San Diego,USA,18,17 - 25,$70K - $90K,M,0,Bachelors Degree,Management,2023-04-18
271,Ladner,Canada,60,51 - 64,$10K - $30K,M,2,Partial High School,Manual,2023-04-18
272,Hidalgo,Mexico,82,>75,$30K - $50K,F,0,High School Degree,Skilled Manual,2023-04-18
273,Long Beach,USA,73,65 - 75,$30K - $50K,F,1,High School Degree,Manual,2023-04-18
274,Albany,USA,87,>75,$30K - $50K,M,4,High School Degree,Skilled Manual,2023-04-18
275,Torrance,USA,48,36 - 50,$30K - $50K,F,2,High School Degree,Skilled Manual,2023-04-18
276,Ballard,USA,27,26 - 35,$110K - $130K,M,3,Bachelors Degree,Professional,2023-04-18
277,Bellingham,USA,39,36 - 50,$50K - $70K,M,2,Bachelors Degree,Management,2023-04-18
278,Edmonds,USA,74,65 - 75,$10K - $30K,F,0,Partial High School,Manual,2023-04-18
279,Cliffside,Canada,36,36 - 50,$110K - $130K,F,3,Partial High School,Management,2023-04-18
280,Lebanon,USA,30,26 - 35,$50K - $70K,F,1,High School Degree,Manual,2023-04-18
281,Bellflower,USA,69,65 - 75,$50K - $70K,F,0,Bachelors Degree,Management,2023-04-18
282,Spring Valley,USA,67,65 - 75,$50K - $70K,F,3,Bachelors Degree,Professional,2023-04-18
283,Novato,USA,87,>75,$50K - $70K,M,3,Partial College,Skilled Manual,2023-04-18
