customer_id,city,country,birthdate,yearly_income,gender,total_children,education,occupation
50,Altadena,USA,1922-03-09,$110K - $130K,M,4,Partial High School,Professional
51,Oakland,USA,1955-05-02,$90K - $110K,F,4,Graduate Degree,Professional
52,Tixapan,Mexico,1912-09-04,$70K - $90K,F,3,Bachelors Degree,Professional
53,Oak Bay,Canada,1932-12-24,$70K - $90K,M,4,Graduate Degree,Management
54,Metchosin,Canada,1961-09-24,$30K - $50K,F,0,Partial College,Professional
55,Grossmont,USA,1924-02-08,$10K - $30K,M,3,Partial High School,Skilled Manual
56,Imperial Beach,USA,1935-11-21,$10K - $30K,M,3,Partial High School,Manual
57,San Andres,Mexico,1960-12-10,$10K - $30K,M,3,Partial High School,Manual
58,Oakland,USA,1956-04-04,$30K - $50K,F,3,Partial High School,Skilled Manual
59,Burnaby,Canada,1942-06-01,$30K - $50K,M,5,High School Degree,Manual
60,Langley,Canada,1914-02-02,$30K - $50K,M,3,Partial College,Skilled Manual
61,Tacoma,USA,1945-02-15,$70K - $90K,M,1,Bachelors Degree,Professional
62,Santa Monica,USA,1931-06-25,$30K - $50K,M,1,High School Degree,Skilled Manual
63,Tlaxiaco,Mexico,1916-10-13,$70K - $90K,F,4,Bachelors Degree,Professional
64,Beaverton,USA,1932-08-13,$10K - $30K,M,4,Partial High School,Manual
65,Metchosin,Canada,1979-09-07,$90K - $110K,F,0,Partial College,Management
66,Metchosin,Canada,1933-08-11,$110K - $130K,F,4,Partial College,Professional
67,Westminster,Canada,1928-07-01,$30K - $50K,M,3,Partial College,Skilled Manual
68,Hidalgo,Mexico,1917-07-27,$30K - $50K,F,0,High School Degree,Manual
69,Los Angeles,USA,1969-06-17,$10K - $30K,M,1,Partial High School,Skilled Manual
70,Coronado,USA,1972-03-26,$30K - $50K,M,0,High School Degree,Manual
71,La Cruz,Mexico,1967-04-08,$10K - $30K,M,5,Partial High School,Manual
72,Shawnee,Canada,1940-09-17,$10K - $30K,F,5,Partial High School,Skilled Manual
73,Yakima,USA,1925-02-28,$30K - $50K,F,4,High School Degree,Skilled Manual
74,Ballard,USA,1965-04-03,$50K - $70K,M,3,Bachelors Degree,Professional
75,Lynnwood,USA,1913-03-25,$30K - $50K,F,3,High School Degree,Manual
76,Port Orchard,USA,1917-06-23,$70K - $90K,F,1,High School Degree,Professional
77,Downey,USA,1921-06-17,$50K - $70K,M,2,Bachelors Degree,Professional
78,Salem,USA,1940-06-24,$10K - $30K,M,1,Partial High School,Manual
79,Tacoma,USA,1957-07-10,$70K - $90K,M,2,Bachelors Degree,Management
80,Lemon Grove,USA,1946-04-18,$70K - $90K,F,1,Bachelors Degree,Management
81,Milwaukie,USA,1944-10-25,$10K - $30K,M,2,Partial High School,Skilled Manual
82,Richmond,USA,1941-08-10,$10K - $30K,F,4,Partial High School,Skilled Manual
83,Arcadia,USA,1969-03-24,$110K - $130K,F,3,Partial High School,Management
84,Haney,Canada,1932-03-05,$50K - $70K,M,4,Bachelors Degree,Professional
85,Novato,USA,1946-10-19,$30K - $50K,M,3,High School Degree,Skilled Manual
86,Bremerton,USA,1911-03-25,$30K - $50K,M,4,Partial High School,Skilled Manual
87,N. Vancouver,Canada,1949-04-15,$70K - $90K,F,4,High School Degree,Management
88,Milwaukie,USA,1943-02-11,$30K - $50K,F,2,High School Degree,Manual
89,Woodland Hills,USA,1974-10-06,$70K - $90K,F,4,High School Degree,Management
90,Sooke,Canada,1976-10-05,$70K - $90K,F,2,High School Degree,Professional
91,Long Beach,USA,1956-04-24,$50K - $70K,M,1,Bachelors Degree,Professional
92,Arcadia,USA,1934-08-03,$30K - $50K,M,4,High School Degree,Skilled Manual
93,Woodburn,USA,1970-03-22,$130K - $150K,M,5,Bachelors Degree,Professional
94,Vancouver,Canada,1939-09-15,$10K - $30K,M,1,Partial High School,Skilled Manual
95,Tlaxiaco,Mexico,1930-09-09,$130K - $150K,F,2,Graduate Degree,Professional
96,Beaverton,USA,1951-03-15,$50K - $70K,M,0,Bachelors Degree,Management
97,Richmond,Canada,1923-08-03,$50K - $70K,M,4,High School Degree,Skilled Manual
98,Richmond,Canada,1952-03-12,$130K - $150K,F,1,High School Degree,Management
99,Port Orchard,USA,1934-04-09,$30K - $50K,F,3,Bachelors Degree,Professional
100,San Jose,USA,1929-12-14,$90K - $110K,F,2,Partial High School,Professional
101,N. Vancouver,Canada,1975-04-26,$10K - $30K,F,1,Partial High School,Manual
102,Langford,Canada,1972-05-02,$30K - $50K,M,2,Bachelors Degree,Professional
103,Acapulco,Mexico,1914-05-27,$50K - $70K,M,5,Bachelors Degree,Professional
104,Hidalgo,Mexico,1952-03-04,$30K - $50K,F,1,Partial College,Clerical
105,National City,USA,1933-05-12,$150K +,M,3,Bachelors Degree,Management
106,Long Beach,USA,1979-03-20,$50K - $70K,M,5,Bachelors Degree,Professional
107,Cliffside,Canada,1921-05-09,$30K - $50K,M,2,High School Degree,Manual
108,Shawnee,Canada,1931-05-13,$90K - $110K,M,1,Bachelors Degree,Management
109,Newton,Canada,1929-08-01,$50K - $70K,M,2,Bachelors Degree,Professional
110,West Covina,USA,1942-02-03,$10K - $30K,M,3,Partial High School,Manual
111,Palo Alto,USA,1965-10-21,$70K - $90K,F,2,Bachelors Degree,Management
112,Santa Monica,USA,1948-11-24,$30K - $50K,F,4,High School Degree,Skilled Manual
113,Sooke,Canada,1964-05-20,$110K - $130K,F,2,Bachelors Degree,Professional
114,Sooke,Canada,1943-04-16,$150K +,F,3,High School Degree,Professional
115,Altadena,USA,1977-06-09,$90K - $110K,F,3,Bachelors Degree,Professional
116,Burnaby,Canada,1934-10-11,$90K - $110K,M,2,High School Degree,Management
117,Albany,USA,1954-02-04,$90K - $110K,F,3,Graduate Degree,Professional
118,Bremerton,USA,1913-10-04,$50K - $70K,M,2,Bachelors Degree,Professional
119,N. Vancouver,Canada,1957-07-26,$10K - $30K,M,4,Partial High School,Manual
120,Milwaukie,USA,1957-01-28,$30K - $50K,F,0,High School Degree,Skilled Manual
121,Santa Monica,USA,1912-02-17,$30K - $50K,F,5,High School Degree,Manual
122,Walla Walla,USA,1920-09-22,$30K - $50K,F,4,High School Degree,Skilled Manual
123,Richmond,USA,1964-07-08,$30K - $50K,F,2,High School Degree,Manual
124,Oakland,USA,1930-09-07,$70K - $90K,F,5,Bachelors Degree,Professional
125,Bellflower,USA,1972-12-04,$70K - $90K,M,2,Bachelors Degree,Professional
126,Ballard,USA,1947-02-03,$110K - $130K,F,2,Partial College,Professional
127,Everett,USA,1932-06-18,$10K - $30K,M,1,Partial High School,Skilled Manual
128,Salem,USA,1947-04-18,$30K - $50K,F,1,High School Degree,Skilled Manual
129,Concord,USA,1925-05-11,$50K - $70K,F,0,Bachelors Degree,Professional
130,Concord,USA,1949-04-15,$110K - $130K,F,4,Graduate Degree,Professional
131,La Jolla,USA,1944-03-06,$10K - $30K,M,3,Partial High School,Manual
132,Cliffside,Canada,1933-03-05,$30K - $50K,F,0,High School Degree,Skilled Manual
133,Burbank,USA,1915-02-22,$30K - $50K,M,1,High School Degree,Skilled Manual
134,Spokane,USA,1918-10-04,$50K - $70K,M,4,Bachelors Degree,Professional
135,Tixapan,Mexico,1924-03-23,$110K - $130K,M,5,Bachelors Degree,Professional
136,Lynnwood,USA,1956-05-22,$150K +,M,3,Bachelors Degree,Professional
137,Newport Beach,USA,1943-03-08,$130K - $150K,F,3,Partial College,Professional
138,Oak Bay,Canada,1925-09-22,$90K - $110K,F,4,Partial High School,Professional
139,Coronado,USA,1931-04-05,$30K - $50K,M,1,Partial High School,Manual
140,La Mesa,USA,1947-11-14,$10K - $30K,M,2,Partial High School,Skilled Manual
141,Santa Anita,Mexico,1939-07-24,$10K - $30K,M,4,Partial High School,Skilled Manual
142,Renton,USA,1958-07-05,$50K - $70K,F,2,Bachelors Degree,Professional
143,Glendale,USA,1975-08-17,$30K - $50K,F,5,Partial College,Manual
144,Westminster,Canada,1964-06-25,$10K - $30K,M,3,Partial High School,Skilled Manual
145,Victoria,Canada,1974-03-16,$10K - $30K,M,3,Partial High School,Manual
146,Victoria,Canada,1960-10-17,$130K - $150K,M,2,Partial High School,Professional
147,Sooke,Canada,1917-05-05,$110K - $130K,M,4,Bachelors Degree,Professional
148,Kirkland,USA,1950-04-12,$70K - $90K,M,2,High School Degree,Management
149,Chula Vista,USA,1964-11-27,$50K - $70K,M,1,Bachelors Degree,Professional
150,Seattle,USA,1929-05-06,$30K - $50K,F,4,High School Degree,Manual
151,San Jose,USA,1959-04-08,$30K - $50K,F,3,Partial College,Management
152,Ballard,USA,1953-03-04,$150K +,F,2,High School Degree,Professional
153,Guadalajara,Mexico,1914-11-26,$10K - $30K,F,3,Partial High School,Manual
154,Lebanon,USA,1916-10-25,$50K - $70K,F,0,Bachelors Degree,Professional
155,Port Hammond,Canada,1966-05-17,$110K - $130K,M,1,Partial High School,Professional
156,Sooke,Canada,1944-08-23,$130K - $150K,M,1,Bachelors Degree,Professional
157,La Mesa,USA,1910-04-15,$50K - $70K,F,2,Bachelors Degree,Professional
158,Tacoma,USA,1961-12-19,$130K - $150K,F,3,Partial College,Management
159,Milwaukie,USA,1940-09-02,$30K - $50K,M,4,High School Degree,Skilled Manual
160,Renton,USA,1961-03-08,$90K - $110K,F,1,Partial High School,Professional
161,Grossmont,USA,1933-08-23,$30K - $50K,F,1,High School Degree,Manual
162,Ladner,Canada,1963-03-05,$30K - $50K,F,3,Partial High School,Manual
163,Los Angeles,USA,1952-06-17,$10K - $30K,F,5,Partial High School,Skilled Manual
164,Coronado,USA,1947-02-22,$30K - $50K,F,4,High School Degree,Skilled Manual
165,Milwaukie,USA,1935-08-17,$130K - $150K,M,2,Bachelors Degree,Professional
166,Oak Bay,Canada,1932-09-20,$30K - $50K,F,4,High School Degree,Manual
167,Lemon Grove,USA,1932-06-07,$70K - $90K,M,2,Graduate Degree,Professional
168,Walla Walla,USA,1963-07-24,$10K - $30K,F,4,Partial High School,Manual
169,Lebanon,USA,1956-12-16,$50K - $70K,F,0,Partial High School,Manual
170,Los Angeles,USA,1920-07-13,$10K - $30K,M,1,Partial High School,Skilled Manual
171,Downey,USA,1932-10-02,$10K - $30K,M,4,Partial High School,Manual
172,West Covina,USA,1942-10-05,$50K - $70K,F,3,Bachelors Degree,Professional
173,Bellingham,USA,1940-02-21,$50K - $70K,F,3,High School Degree,Manual
174,San Carlos,USA,1953-06-23,$90K - $110K,F,4,High School Degree,Management
175,Metchosin,Canada,1976-03-14,$70K - $90K,F,0,Graduate Degree,Professional
176,Concord,USA,1960-05-16,$110K - $130K,M,2,Partial College,Professional
177,Corvallis,USA,1975-09-13,$10K - $30K,M,0,Partial High School,Skilled Manual
178,Woodburn,USA,1967-12-19,$30K - $50K,M,1,Partial College,Manual
179,Lakewood,USA,1918-11-01,$130K - $150K,M,1,Graduate Degree,Professional
180,Seattle,USA,1945-03-03,$50K - $70K,F,4,Bachelors Degree,Professional
181,Bremerton,USA,1965-06-23,$30K - $50K,F,1,High School Degree,Manual
182,Everett,USA,1924-03-24,$110K - $130K,F,1,Graduate Degree,Management
183,Langford,Canada,1969-11-19,$130K - $150K,M,2,Graduate Degree,Professional
184,Oak Bay,Canada,1968-05-20,$70K - $90K,F,4,High School Degree,Professional
185,Edmonds,USA,1923-07-10,$10K - $30K,M,4,Partial High School,Manual
186,Imperial Beach,USA,1931-02-15,$110K - $130K,F,3,Partial High School,Professional
187,Woodburn,USA,1975-12-01,$10K - $30K,M,0,Partial High School,Manual
188,Albany,USA,1959-11-13,$30K - $50K,F,4,High School Degree,Skilled Manual
189,Metchosin,Canada,1919-11-26,$10K - $30K,M,2,Partial High School,Skilled Manual
190,Corvallis,USA,1964-12-25,$110K - $130K,F,1,Partial College,Professional
191,Arcadia,USA,1949-05-13,$30K - $50K,F,4,Partial College,Manual
192,Spokane,USA,1977-06-24,$50K - $70K,F,4,Bachelors Degree,Professional
193,Los Angeles,USA,1942-04-07,$30K - $50K,M,0,Partial College,Skilled Manual
194,Mexico City,Mexico,1970-05-07,$30K - $50K,F,1,Partial College,Skilled Manual
195,N. Vancouver,Canada,1965-04-24,$50K - $70K,F,4,Bachelors Degree,Professional
196,Daly City,USA,1966-07-08,$10K - $30K,M,2,Partial High School,Manual
197,National City,USA,1948-06-25,$10K - $30K,F,1,High School Degree,Skilled Manual
198,Imperial Beach,USA,1939-11-22,$10K - $30K,F,1,Partial High School,Skilled Manual
199,Richmond,USA,1946-04-15,$10K - $30K,M,0,Bachelors Degree,Professional
200,Los Angeles,USA,1977-06-13,$50K - $70K,F,5,Partial College,Skilled Manual
201,Santa Fe,Mexico,1976-07-11,$50K - $70K,F,1,Bachelors Degree,Professional
202,Santa Cruz,USA,1946-09-13,$10K - $30K,F,5,Partial High School,Manual
203,Newton,Canada,1952-04-24,$50K - $70K,M,1,Bachelors Degree,Management
204,N. Vancouver,Canada,1968-11-06,$130K - $150K,M,2,High School Degree,Management
205,San Diego,USA,1960-08-16,$110K - $130K,M,5,Bachelors Degree,Management
206,Sedro Woolley,USA,1979-08-23,$50K - $70K,F,3,Bachelors Degree,Management
207,La Jolla,USA,1938-12-20,$70K - $90K,M,2,Graduate Degree,Professional
208,Woodburn,USA,1916-06-17,$130K - $150K,F,2,Partial College,Professional
209,Imperial Beach,USA,1925-04-08,$70K - $90K,M,2,Bachelors Degree,Professional
210,Burnaby,Canada,1911-10-09,$70K - $90K,F,1,Graduate Degree,Management
211,Santa Anita,Mexico,1938-05-24,$10K - $30K,M,3,Partial High School,Skilled Manual
212,Novato,USA,1971-05-04,$10K - $30K,M,4,Partial High School,Manual
213,Woodland Hills,USA,1915-12-19,$30K - $50K,F,3,High School Degree,Manual
214,Ladner,Canada,1950-05-24,$30K - $50K,M,1,High School Degree,Manual
215,National City,USA,1919-06-14,$50K - $70K,M,5,Partial College,Professional
216,Olympia,USA,1924-07-21,$70K - $90K,F,2,High School Degree,Professional
217,Woodburn,USA,1925-04-18,$50K - $70K,M,5,Partial College,Skilled Manual
218,Santa Anita,Mexico,1939-06-02,$70K - $90K,M,2,Bachelors Degree,Professional
219,Bellflower,USA,1977-09-10,$30K - $50K,M,2,High School Degree,Skilled Manual
220,Torrance,USA,1955-01-16,$50K - $70K,F,2,Bachelors Degree,Management
221,Lynnwood,USA,1922-08-08,$30K - $50K,F,2,Partial College,Skilled Manual
222,Lemon Grove,USA,1972-05-12,$90K - $110K,F,0,High School Degree,Professional
223,Sooke,Canada,1963-05-06,$10K - $30K,F,1,Partial High School,Manual
224,La Cruz,Mexico,1973-08-27,$10K - $30K,F,3,Partial High School,Skilled Manual
225,Beaverton,USA,1956-05-26,$30K - $50K,M,5,High School Degree,Manual
226,W. Linn,USA,1974-08-25,$90K - $110K,F,2,Graduate Degree,Professional
227,Burbank,USA,1963-10-10,$30K - $50K,F,3,High School Degree,Manual
228,El Cajon,USA,1958-06-14,$90K - $110K,F,3,High School Degree,Professional
229,Renton,USA,1946-02-10,$70K - $90K,F,1,Graduate Degree,Management
230,Bellingham,USA,1943-02-13,$10K - $30K,M,2,Partial High School,Manual
231,Oak Bay,Canada,1944-10-27,$30K - $50K,F,5,Partial College,Clerical
232,Ladner,Canada,1911-08-04,$110K - $130K,F,1,Bachelors Degree,Management
233,Sedro Woolley,USA,1974-02-23,$130K - $150K,M,3,High School Degree,Professional
234,La Mesa,USA,1938-09-20,$10K - $30K,M,3,Partial High School,Manual
235,W. Linn,USA,1920-11-12,$70K - $90K,M,2,Bachelors Degree,Professional
236,Oregon City,USA,1930-11-15,$10K - $30K,M,1,Partial High School,Skilled Manual
237,Royal Oak,Canada,1941-06-15,$70K - $90K,M,0,Bachelors Degree,Management
238,Milwaukie,USA,1954-10-17,$10K - $30K,F,1,Partial High School,Manual
239,Concord,USA,1976-07-08,$110K - $130K,M,1,Graduate Degree,Professional
240,Glendale,USA,1960-09-10,$30K - $50K,M,2,Partial High School,Skilled Manual
241,San Andres,Mexico,1963-10-23,$90K - $110K,M,4,High School Degree,Professional
242,San Andres,Mexico,1955-02-02,$10K - $30K,M,1,Partial High School,Manual
243,Burnaby,Canada,1918-04-22,$30K - $50K,M,1,High School Degree,Manual
244,Merida,Mexico,1945-07-24,$50K - $70K,F,3,Bachelors Degree,Professional
245,Vancouver,Canada,1953-07-06,$130K - $150K,M,5,High School Degree,Professional
246,Lincoln Acres,USA,1924-08-18,$30K - $50K,M,4,High School Degree,Manual
247,Tlaxiaco,Mexico,1957-12-02,$50K - $70K,F,1,Bachelors Degree,Professional
248,Tixapan,Mexico,1956-06-03,$30K - $50K,M,1,Partial College,Clerical
249,Richmond,Canada,1911-08-20,$10K - $30K,F,1,Partial High School,Manual
250,Lake Oswego,USA,1919-03-25,$30K - $50K,M,1,High School Degree,Manual
251,La Mesa,USA,1975-05-22,$30K - $50K,F,3,High School Degree,Skilled Manual
252,Chula Vista,USA,1963-06-03,$30K - $50K,M,1,High School Degree,Skilled Manual
253,Daly City,USA,1924-06-16,$130K - $150K,F,4,Partial High School,Professional
254,Metchosin,Canada,1911-10-26,$10K - $30K,M,4,Partial High School,Skilled Manual
255,Torrance,USA,1965-03-15,$30K - $50K,M,2,High School Degree,Manual
256,Haney,Canada,1911-01-15,$10K - $30K,M,2,Partial High School,Manual
257,National City,USA,1958-02-08,$30K - $50K,F,3,High School Degree,Manual
258,Coronado,USA,1912-01-12,$30K - $50K,M,2,High School Degree,Manual
259,Cliffside,Canada,1977-11-02,$10K - $30K,M,2,Partial High School,Manual
260,W. Linn,USA,1966-11-02,$50K - $70K,M,5,Bachelors Degree,Management
261,Spring Valley,USA,1948-10-19,$130K - $150K,M,4,Partial High School,Professional
262,Westminster,Canada,1939-04-16,$70K - $90K,F,4,Bachelors Degree,Professional
263,Guadalajara,Mexico,1946-08-09,$10K - $30K,F,0,Partial High School,Skilled Manual
264,Sedro Woolley,USA,1919-02-18,$10K - $30K,F,0,Partial High School,Manual
265,Lake Oswego,USA,1976-11-05,$10K - $30K,F,4,Partial High School,Skilled Manual
266,Cliffside,Canada,1946-02-08,$10K - $30K,M,2,Partial High School,Manual
267,Altadena,USA,1964-11-02,$130K - $150K,F,3,Graduate Degree,Professional
268,San Gabriel,USA,1968-04-27,$30K - $50K,M,0,High School Degree,Skilled Manual
269,Novato,USA,1973-04-21,$10K - $30K,F,2,Partial High School,Manual
270,San Diego,USA,1980-01-17,$70K - $90K,M,0,Bachelors Degree,Management
271,Ladner,Canada,1938-05-14,$10K - $30K,M,2,Partial High School,Manual
272,Hidalgo,Mexico,1916-10-11,$30K - $50K,F,0,High School Degree,Skilled Manual
273,Long Beach,USA,1925-08-02,$30K - $50K,F,1,High School Degree,Manual
274,Albany,USA,1911-03-03,$30K - $50K,M,4,High School Degree,Skilled Manual
275,Torrance,USA,1950-01-02,$30K - $50K,F,2,High School Degree,Skilled Manual
276,Ballard,USA,1971-09-25,$110K - $130K,M,3,Bachelors Degree,Professional
277,Bellingham,USA,1959-05-15,$50K - $70K,M,2,Bachelors Degree,Management
278,Edmonds,USA,1924-09-21,$10K - $30K,F,0,Partial High School,Manual
279,Cliffside,Canada,1962-10-10,$110K - $130K,F,3,Partial High School,Management
280,Lebanon,USA,1968-11-17,$50K - $70K,F,1,High School Degree,Manual
281,Bellflower,USA,1929-08-12,$50K - $70K,F,0,Bachelors Degree,Management
282,Spring Valley,USA,1931-08-12,$50K - $70K,F,3,Bachelors Degree,Professional
283,Novato,USA,1911-02-03,$50K - $70K,M,3,Partial College,Skilled Manual
284,San Carlos,USA,1947-03-26,$10K - $30K,F,2,Partial High School,Skilled Manual
285,Woodland Hills,USA,1913-09-17,$30K - $50K,F,3,Partial College,Clerical
286,Camacho,Mexico,1964-06-22,$110K - $130K,F,1,Bachelors Degree,Professional
287,Arcadia,USA,1955-06-15,$50K - $70K,F,0,Bachelors Degree,Professional
288,Downey,USA,1976-12-21,$30K - $50K,F,3,High School Degree,Manual
289,Los Angeles,USA,1948-06-09,$30K - $50K,F,3,High School Degree,Manual
290,Everett,USA,1966-09-07,$130K - $150K,M,4,High School Degree,Management
291,N. Vancouver,Canada,1967-03-03,$90K - $110K,M,1,High School Degree,Professional
292,Daly City,USA,1962-10-08,$70K - $90K,M,0,Bachelors Degree,Professional
293,Walla Walla,USA,1938-03-20,$30K - $50K,M,4,High School Degree,Manual
294,Imperial Beach,USA,1935-04-23,$30K - $50K,F,0,High School Degree,Manual
295,Richmond,USA,1951-05-17,$150K +,M,3,Partial College,Professional
296,Los Angeles,USA,1919-03-21,$130K - $150K,F,5,Partial High School,Professional
297,Newton,Canada,1912-08-14,$30K - $50K,F,5,High School Degree,Manual
298,Merida,Mexico,1958-07-21,$50K - $70K,F,2,Bachelors Degree,Professional
299,Ladner,Canada,1970-09-10,$130K - $150K,F,0,Graduate Degree,Management
300,Port Hammond,Canada,1910-09-14,$30K - $50K,M,1,High School Degree,Manual
301,Coronado,USA,1978-01-03,$30K - $50K,F,5,High School Degree,Skilled Manual
302,Marysville,USA,1921-06-04,$30K - $50K,F,1,Partial High School,Skilled Manual
303,Fremont,USA,1944-02-22,$30K - $50K,M,0,High School Degree,Skilled Manual
304,Albany,USA,1927-04-25,$90K - $110K,M,1,Bachelors Degree,Management
305,Langley,Canada,1931-06-10,$70K - $90K,F,4,Partial High School,Professional
306,Langley,Canada,1923-08-17,$50K - $70K,M,4,Bachelors Degree,Professional
307,Sedro Woolley,USA,1956-10-10,$130K - $150K,F,5,Bachelors Degree,Professional
308,Burlingame,USA,1913-03-12,$130K - $150K,F,4,High School Degree,Professional
309,Sooke,Canada,1933-06-05,$110K - $130K,M,0,High School Degree,Management
310,San Andres,Mexico,1962-03-05,$50K - $70K,F,1,Bachelors Degree,Professional
311,Pomona,USA,1965-07-19,$30K - $50K,M,3,High School Degree,Manual
312,Downey,USA,1976-05-04,$30K - $50K,M,3,Partial High School,Skilled Manual
313,Palo Alto,USA,1931-06-21,$30K - $50K,M,3,High School Degree,Manual
314,Everett,USA,1927-09-15,$30K - $50K,F,3,Partial High School,Skilled Manual
315,Acapulco,Mexico,1913-11-12,$30K - $50K,M,5,Partial High School,Manual
316,Tlaxiaco,Mexico,1955-07-13,$50K - $70K,M,3,Partial College,Professional
317,Redmond,USA,1915-07-26,$150K +,M,0,High School Degree,Management
318,Haney,Canada,1972-11-09,$10K - $30K,F,2,Partial High School,Manual
319,Burien,USA,1957-04-24,$70K - $90K,F,0,Bachelors Degree,Management
320,Mexico City,Mexico,1972-02-24,$130K - $150K,F,0,Graduate Degree,Professional
321,Merida,Mexico,1950-03-18,$90K - $110K,M,2,Bachelors Degree,Professional
322,Hidalgo,Mexico,1974-02-22,$10K - $30K,M,1,Partial High School,Skilled Manual
323,Lemon Grove,USA,1969-12-12,$30K - $50K,F,4,Partial College,Skilled Manual
324,Ladner,Canada,1958-12-11,$30K - $50K,M,2,Partial College,Clerical
325,Burien,USA,1940-11-01,$10K - $30K,F,2,High School Degree,Manual
326,Anacortes,USA,1943-08-10,$30K - $50K,F,2,Partial High School,Skilled Manual
327,Royal Oak,Canada,1938-09-18,$50K - $70K,F,1,Bachelors Degree,Professional
328,Oregon City,USA,1911-03-01,$70K - $90K,M,3,Bachelors Degree,Professional
329,San Gabriel,USA,1968-12-15,$30K - $50K,F,2,Partial College,Manual
330,Westminster,Canada,1938-03-17,$10K - $30K,F,0,Partial High School,Manual
331,Mill Valley,USA,1956-02-12,$30K - $50K,M,1,High School Degree,Manual
332,Palo Alto,USA,1960-06-10,$30K - $50K,M,3,Partial College,Manual
333,Newport Beach,USA,1964-05-04,$70K - $90K,F,4,Graduate Degree,Professional
